"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU8872",7,2.674,1,4,"Generalists"
"OTU2820",1,2.896,1,5,"NS"
"OTU327",5,11.486,7,15,"Specialists"
"OTU638",29,5.512,3,8,"Generalists"
"OTU565",5,2.268,1,4,"Generalists"
"OTU189",2,1.468,1,2,"NS"
"OTU5571",6,2.632,1,4.52499999999998,"Generalists"
"OTU7275",1,2.346,1,4,"NS"
"OTU6812",11,3.342,1,5,"Generalists"
"OTU7561",10,4.948,3,8,"Generalists"
"OTU303",3,1.73,1,3,"NS"
"OTU4005",16,4.69,2,7.52499999999998,"Generalists"
"OTU62",5,2.922,1,5,"NS"
"OTU9896",3,1.75,1,3,"NS"
"OTU4107",14,8.556,5,12,"Generalists"
"OTU12247",8,2.648,1,5,"Generalists"
"OTU6573",2,4.666,2,7,"NS"
"OTU671",7,12.93,9,18,"Specialists"
"OTU5652",9,3.03,1,5,"Generalists"
"OTU12423",23,5.61,3,9,"Generalists"
"OTU1231",5,3.62,2,6,"NS"
"OTU756",2,2.676,1,4,"NS"
"OTU103",21,4.476,2,7,"Generalists"
"OTU6951",2,7.814,5,12,"Specialists"
"OTU55",3,2.588,1,4,"NS"
"OTU97",3,1.788,1,3,"NS"
"OTU7090",12,7.802,5,12,"NS"
"OTU6337",6,2.438,1,4,"Generalists"
"OTU10535",20,7.796,4,11,"Generalists"
"OTU150",5,20.538,15,26,"Specialists"
"OTU208",8,13.384,9,18,"Specialists"
"OTU1033",5,5.752,3,9,"NS"
"OTU171",5,2.338,1,4,"Generalists"
"OTU630",2,1.736,1,3,"NS"
"OTU112",6,6.182,3,9,"NS"
"OTU1990",6,7.148,4,11,"NS"
"OTU128",5,31.13,24,37,"Specialists"
"OTU184",2,1.722,1,3,"NS"
"OTU11211",1,1.728,1,3,"NS"
"OTU4407",5,4.546,2,7,"NS"
"OTU660",2,1.754,1,3,"NS"
"OTU3582",1,3.146,1,5,"NS"
"OTU219",11,25.922,20,33,"Specialists"
"OTU1349",2,2.388,1,4,"NS"
"OTU7878",2,5.55,3,9,"Specialists"
"OTU378",4,13.52,9,18,"Specialists"
"OTU1264",3,9.154,5,13,"Specialists"
"OTU251",22,21.64,16,27,"NS"
"OTU5065",3,2.142,1,4,"NS"
