OTU_ID	SRR13801490	SRR13801485	SRR13801484	SRR13801483	SRR13801481	taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Growth Morphology	Trait	Confidence Ranking	Notes	Citation/Source
OTU7796	0	0	0	0	0	Fungi;Ascomycota;Lecanoromycetes;Ostropales;Gomphillaceae;Corticifraga;Corticifraga_peltigerae	Corticifraga	13	Pathotroph	|Lichen Parasite|	Microfungus	NULL	Possible	"Decay fungal material, algal material (Põlme et al. 2020)"	"b'Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)); P\xc3\xb5lme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))'"
OTU8178	0	0	0	0	0	Fungi;Ascomycota;Lecanoromycetes;Ostropales;Gomphillaceae;Corticifraga;Corticifraga_peltigerae	Corticifraga	13	Pathotroph	|Lichen Parasite|	Microfungus	NULL	Possible	"Decay fungal material, algal material (Põlme et al. 2020)"	"b'Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)); P\xc3\xb5lme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))'"
OTU8392	0	0	0	0	0	Fungi;Ascomycota;Lecanoromycetes;Ostropales;Gomphillaceae;Corticifraga;Corticifraga_peltigerae	Corticifraga	13	Pathotroph	|Lichen Parasite|	Microfungus	NULL	Possible	"Decay fungal material, algal material (Põlme et al. 2020)"	"b'Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)); P\xc3\xb5lme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))'"
OTU6678	0	0	0	0	0	Fungi;Ascomycota;Sordariomycetes;Hypocreales;Bionectriaceae;Nectriopsis;uncl_Nectriopsis	Nectriopsis	13	Pathotroph	Fungal Parasite-|Lichen Parasite|-Protist Parasite-Protistan Parasite	Microfungus	NULL	Probable	"Decay fungal material, algal material (Põlme et al. 2020)"	"b'Samuels GJ. 2007. Self-published; P\xc3\xb5lme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2)); List compiled by John Plischke III ((https://goodmushroom.weebly.com/uploads/5/7/1/7/57176535/fungi_on_fungi_pdf_lq.pdf))'"
OTU967	0	0	0	0	0	Fungi;Basidiomycota;Agaricomycetes;Atheliales;Atheliaceae;Athelia;Athelia_arachnoidea	Athelia	13	Pathotroph-Saprotroph-Symbiotroph	Algal Parasite-Epiphyte-|Lichen Parasite|-Lichenized-Plant Pathogen-Plant Saprotroph-Wood Saprotroph	Corticioid-Thallus	NULL	Possible	"Decay fungal material, algal material (Põlme et al. 2020); Host - algae (Põlme et al. 2020); Lichenized and non; lichenized taxa"	"b'Adams GC, Kropp BR. 1996. Mycologia 88:459-472 ((https://doi.org/10.1080/00275514.1996.12026672)); Carisse O, et al. 2000.Phytopathology 90:31-37 ((https://doi.org/10.1094/PHYTO.2000.90.1.31)); Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)); P\xc3\xb5lme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))'"
OTU1259	0	0	0	0	0	Fungi;Basidiomycota;Agaricomycetes;Atheliales;Atheliaceae;Athelia;Athelia_arachnoidea	Athelia	13	Pathotroph-Saprotroph-Symbiotroph	Algal Parasite-Epiphyte-|Lichen Parasite|-Lichenized-Plant Pathogen-Plant Saprotroph-Wood Saprotroph	Corticioid-Thallus	NULL	Possible	"Decay fungal material, algal material (Põlme et al. 2020); Host - algae (Põlme et al. 2020); Lichenized and non; lichenized taxa"	"b'Adams GC, Kropp BR. 1996. Mycologia 88:459-472 ((https://doi.org/10.1080/00275514.1996.12026672)); Carisse O, et al. 2000.Phytopathology 90:31-37 ((https://doi.org/10.1094/PHYTO.2000.90.1.31)); Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)); P\xc3\xb5lme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))'"
OTU8534	0	0	0	0	0	Fungi;Ascomycota;Dothideomycetes;Venturiales;Sympoventuriaceae;Ochroconis;uncl_Ochroconis	Ochroconis	13	Pathotroph-Saprotroph	|Animal Parasite|-Plant Pathogen-Undefined Saprotroph	Microfungus	NULL	Probable	"Decay leaf, fruit, seed, animal material (Põlme et al. 2020)"	"b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); P\xc3\xb5lme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))'"
OTU11420	0	0	0	0	0	Fungi;Ascomycota;Dothideomycetes;Venturiales;Sympoventuriaceae;Ochroconis;uncl_Ochroconis	Ochroconis	13	Pathotroph-Saprotroph	|Animal Parasite|-Plant Pathogen-Undefined Saprotroph	Microfungus	NULL	Probable	"Decay leaf, fruit, seed, animal material (Põlme et al. 2020)"	"b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); P\xc3\xb5lme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))'"
OTU9823	0	0	0	0	0	Fungi;Ascomycota;Dothideomycetes;Venturiales;Sympoventuriaceae;Ochroconis;uncl_Ochroconis	Ochroconis	13	Pathotroph-Saprotroph	|Animal Parasite|-Plant Pathogen-Undefined Saprotroph	Microfungus	NULL	Probable	"Decay leaf, fruit, seed, animal material (Põlme et al. 2020)"	"b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); P\xc3\xb5lme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))'"
OTU135	255	209	270	116	263	Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Talaromyces;uncl_Talaromyces	Talaromyces	13	Pathotroph-Saprotroph	Animal Parasite-|Undefined Saprotroph|	Microfungus	NULL	Probable	"Decay leaf, fruit, seed, soil, animal material (Põlme et al. 2020)"	"b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); P\xc3\xb5lme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))'"
