ITS_ID,Observed,beta_div_metacomm_mean,abund_null_dev_stoch,abund_null_dev_det,Domain,Grass
SRR13800986,214,0.764275904,0.270017655,0.275227779,Fungi,BUDA
SRR13800984,163,0.828599029,0.33434078,0.339550904,Fungi,BUDA
SRR13801271,197,0.842497816,0.348239567,0.353449691,Fungi,BUDA
SRR13801270,225,0.81100819,0.316749942,0.321960065,Fungi,BUDA
SRR13801269,186,0.849320623,0.355062375,0.360272499,Fungi,BUDA
SRR13801268,187,0.817343805,0.323085556,0.32829568,Fungi,BUDA
SRR13801311,178,0.86309583,0.25509995,0.268682107,Fungi,SCSC
SRR13801300,195,0.883359722,0.275363841,0.288945999,Fungi,SCSC
SRR13801289,165,0.868775482,0.260779601,0.274361758,Fungi,SCSC
SRR13801322,124,0.915494034,0.307498153,0.32108031,Fungi,SCSC
SRR13801278,198,0.843067722,0.235071841,0.248653998,Fungi,SCSC
SRR13801219,128,0.897002594,0.289006713,0.302588871,Fungi,SCSC
SRR13801208,169,0.874617913,0.266622032,0.28020419,Fungi,SCSC
SRR13801197,178,0.898976005,0.290980124,0.304562281,Fungi,SCSC
SRR13801185,136,0.910241169,0.302245288,0.315827445,Fungi,SCSC
SRR13801126,126,0.951821315,0.343825434,0.357407591,Fungi,SCSC
SRR13801115,175,0.885849074,0.277853193,0.29143535,Fungi,SCSC
SRR13801016,126,0.954541239,0.346545358,0.360127515,Fungi,SCSC
SRR13801015,159,0.901267893,0.293272012,0.306854169,Fungi,SCSC
SRR13801018,113,0.951464792,0.343468911,0.357051068,Fungi,SCSC
SRR13801014,116,0.962939534,0.354943653,0.368525811,Fungi,SCSC
SRR13801013,155,0.927186678,0.319190797,0.332772955,Fungi,SCSC
SRR13801011,119,0.940665977,0.332670096,0.346252254,Fungi,SCSC
SRR13801010,172,0.911696371,0.30370049,0.317282647,Fungi,SCSC
SRR13801009,173,0.880941394,0.272945513,0.286527671,Fungi,SCSC
SRR13801008,125,0.927740376,0.319744495,0.333326652,Fungi,SCSC
SRR13801349,161,0.920169329,0.312173448,0.325755605,Fungi,SCSC
SRR13801320,194,0.825544277,0.217548396,0.231130554,Fungi,SCSC
SRR13801319,165,0.892618157,0.284622276,0.298204433,Fungi,SCSC
SRR13801318,158,0.854954332,0.246958451,0.260540608,Fungi,SCSC
SRR13801321,194,0.811075035,0.203079154,0.216661311,Fungi,SCSC
