X16S_ID,Observed,beta_div_metacomm_mean,abund_null_dev_stoch,abund_null_dev_det,Domain,Grass
X1351_616,934,0.646245201,-0.174579935,-0.027605623,Bacteria,BOGR
X1351_617,864,0.637585975,-0.183239161,-0.036264848,Bacteria,BOGR
X1351_619,873,0.642404045,-0.178421091,-0.031446778,Bacteria,BOGR
X1351_620,1008,0.642100964,-0.178724172,-0.031749859,Bacteria,BOGR
X1351_1339,1001,0.636899519,-0.183925617,-0.036951304,Bacteria,BOGR
X1351_627,842,0.636756194,-0.184068942,-0.03709463,Bacteria,BOGR
X1351_628,816,0.622574087,-0.198251049,-0.051276736,Bacteria,BOGR
X1351_630,871,0.644488587,-0.176336549,-0.029362237,Bacteria,BOGR
X1351_631,1015,0.652851745,-0.167973391,-0.020999078,Bacteria,BOGR
X1351_697,799,0.597794524,-0.223030612,-0.076056299,Bacteria,BOGR
X1351_695,906,0.600338039,-0.220487097,-0.073512784,Bacteria,BOGR
X1351_1751,842,0.604689318,-0.216135818,-0.069161505,Bacteria,BOGR
X1351_1752,1034,0.581057072,-0.239768064,-0.092793751,Bacteria,BOGR
X1351_1753,1207,0.597258349,-0.223566787,-0.076592474,Bacteria,BOGR
X1351_1754,868,0.616401257,-0.204423879,-0.057449566,Bacteria,BOGR
X1351_1755,797,0.628124946,-0.19270019,-0.045725877,Bacteria,BOGR
X1351_1756,856,0.609332939,-0.211492197,-0.064517884,Bacteria,BOGR
X1351_632,772,0.59735402,-0.223471116,-0.076496803,Bacteria,BOGR
X1351_633,1096,0.617384109,-0.203441027,-0.056466715,Bacteria,BOGR
X1351_634,1193,0.570877026,-0.24994811,-0.102973797,Bacteria,BOGR
X1351_635,986,0.589721968,-0.231103168,-0.084128855,Bacteria,BOGR
X1351_636,955,0.572236574,-0.248588563,-0.10161425,Bacteria,BOGR
X1351_637,1059,0.599985531,-0.220839605,-0.073865293,Bacteria,BOGR
X1351_690,1010,0.580844106,-0.23998103,-0.093006718,Bacteria,BOGR
X1351_691,983,0.593784391,-0.227040745,-0.080066432,Bacteria,BOGR
X1351_692,1249,0.618102268,-0.202722868,-0.055748555,Bacteria,BOGR
X1351_693,1023,0.605337861,-0.215487275,-0.068512962,Bacteria,BOGR
X1351_694,1169,0.630359247,-0.190465889,-0.043491577,Bacteria,BOGR
X1351_1348,1003,0.705907997,-0.114917139,0.032057174,Bacteria,BOGR
X1351_1350,1409,0.622027687,-0.198797449,-0.051823136,Bacteria,BOGR
X1351_638,1050,0.704257338,-0.116567798,0.030406515,Bacteria,BOGR
X1351_639,1197,0.639399537,-0.181425599,-0.034451286,Bacteria,BOGR
X1351_640,1510,0.651452387,-0.169372749,-0.022398436,Bacteria,BOGR
X1351_641,1503,0.684125182,-0.136699954,0.010274359,Bacteria,BOGR
X1351_642,1217,0.592336829,-0.228488307,-0.081513994,Bacteria,BOGR
X1351_643,1337,0.676898981,-0.143926155,0.003048157,Bacteria,BOGR
