"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU31976",50,35.438,30,41,"Generalists"
"OTU1261",18,20.622,16,25,"NS"
"OTU5462",6,5.96,4,8,"NS"
"OTU2160",9,12.474,9,16,"NS"
"OTU2751",4,3.45,2,4,"NS"
"OTU21794",13,19.802,15,24,"Specialists"
"OTU1707",23,15.972,12.475,20,"Generalists"
"OTU3288",9,11.618,8,15,"NS"
"OTU1820",45,35.554,30,42.525,"Generalists"
"OTU14489",2,2.71,2,3,"NS"
"OTU166",35,57.446,51,63,"Specialists"
"OTU117",9,10.878,8,14,"NS"
"OTU230",73,70.516,66,75,"NS"
"OTU92",70,70.832,66,75,"NS"
"OTU12884",16,15.566,12,20,"NS"
"OTU62593",16,25.996,21,31.525,"Specialists"
"OTU5166",46,40.168,34,47,"NS"
"OTU29705",26,37.894,31,44,"Specialists"
"OTU1019",26,28.194,23,34,"NS"
"OTU302",29,19.344,15,24,"Generalists"
"OTU33907",2,1.898,1,2,"NS"
"OTU184",61,41.476,36,48,"Generalists"
"OTU196",29,33.426,28,39,"NS"
"OTU18990",42,26.006,21,31,"Generalists"
"OTU57515",72,63.974,58,69,"Generalists"
"OTU978",24,23.106,19,28,"NS"
"OTU9978",7,6.976,5,9,"NS"
"OTU158",53,51.284,46,57,"NS"
"OTU3150",39,20.012,15.475,24,"Generalists"
"OTU355",2,1.932,1,2,"NS"
"OTU376",32,21.76,17,27,"Generalists"
"OTU98",31,41.148,35,48,"Specialists"
"OTU35",75,76.65,74,78,"NS"
"OTU2438",61,41.164,35,47,"Generalists"
"OTU4988",57,41.218,35,47,"Generalists"
"OTU2262",7,5.418,3,7,"NS"
"OTU284",52,32.258,27,38,"Generalists"
"OTU1648",27,17.372,13,22,"Generalists"
"OTU879",6,6.462,4,8,"NS"
"OTU5217",7,6.956,5,9,"NS"
"OTU803",13,13.502,10,17,"NS"
"OTU371",62,43.414,37,50,"Generalists"
"OTU7360",19,18.24,14,23,"NS"
"OTU11373",44,26.528,21,31,"Generalists"
"OTU172",24,27.246,23,33,"NS"
"OTU48037",7,6.932,5,9,"NS"
"OTU1697",42,33.668,28,39,"Generalists"
"OTU88539",32,20.732,16,26,"Generalists"
"OTU981",41,23.268,19,28,"Generalists"
"OTU1085",3,3.42,2,4,"NS"
"OTU674",43,26.338,21,32,"Generalists"
"OTU354",50,35.902,30,42,"Generalists"
"OTU48233",45,23.014,18,28,"Generalists"
"OTU2268",4,3.452,2,4,"NS"
"OTU7416",1,1.904,1,2,"NS"
"OTU81",61,36.282,30.475,42,"Generalists"
"OTU1171",56,29.712,24.475,35,"Generalists"
"OTU1274",26,15.918,12,20,"Generalists"
"OTU544",68,42.458,36,49,"Generalists"
"OTU8072",57,61.158,55,67,"NS"
"OTU79182",50,33.44,28,39,"Generalists"
"OTU2880",31,17.772,14,22,"Generalists"
"OTU520",22,15.504,12,19,"Generalists"
"OTU656",5,4.798,3,6,"NS"
"OTU984",29,38.06,33,44,"Specialists"
"OTU8771",8,8.728,6,11,"NS"
"OTU2437",27,16.9,13,21,"Generalists"
"OTU1575",30,17.762,14,22,"Generalists"
"OTU3359",3,2.71,2,3,"NS"
"OTU13340",35,23.152,18,28,"Generalists"
"OTU2819",40,25.87,21,31,"Generalists"
"OTU192",62,47.982,42,54,"Generalists"
"OTU153",76,51.662,46,57,"Generalists"
"OTU22187",8,8.388,6,11,"NS"
"OTU1018",25,15.822,12,20,"Generalists"
"OTU938",16,13.516,10,17,"NS"
"OTU5162",10,9.842,7,13,"NS"
"OTU1176",4,4.802,3,6,"NS"
"OTU921",61,37.77,32,44,"Generalists"
"OTU22167",9,15.058,11,19,"Specialists"
"OTU430",6,28.374,23,33,"Specialists"
"OTU73",74,75.292,72,78,"NS"
"OTU374",19,14.998,11,19,"NS"
"OTU1341",5,4.798,3,6,"NS"
"OTU15809",68,44.432,38,51,"Generalists"
"OTU220",33,38.932,32.475,44,"NS"
"OTU1360",4,12.822,10,16,"Specialists"
"OTU1477",19,13.086,9.475,17,"Generalists"
"OTU3509",6,4.774,3,6,"NS"
"OTU22652",12,17.998,14,22,"Specialists"
"OTU968",18,13.806,11,17,"Generalists"
"OTU691",8,12.554,9,16,"Specialists"
"OTU848",60,32.158,27,37,"Generalists"
"OTU16209",39,25.56,20,31,"Generalists"
"OTU1901",4,4.822,3,6,"NS"
"OTU4097",18,11.56,8,15,"Generalists"
"OTU8396",4,4.184,3,5,"NS"
"OTU70293",32,22.662,18,27,"Generalists"
"OTU1402",36,34.29,29,40,"NS"
"OTU87",77,69.376,65,74,"Generalists"
"OTU44",70,59.892,54,66,"Generalists"
"OTU3583",6,4.882,3,6,"NS"
"OTU3575",19,13.322,10,17,"Generalists"
"OTU1216",75,46.184,40,52,"Generalists"
"OTU3931",35,19.746,16,24,"Generalists"
"OTU967",11,12.426,9,16,"NS"
"OTU330",36,19.226,15,24,"Generalists"
"OTU1690",13,10.522,7.475,14,"NS"
"OTU1782",40,24.426,19,30,"Generalists"
"OTU546",50,26.768,21,32,"Generalists"
"OTU21967",13,10.466,7,14,"NS"
"OTU56655",9,10.768,7.475,14,"NS"
"OTU2060",19,12.832,9,16,"Generalists"
"OTU927",40,37.126,31,43,"NS"
"OTU973",3,2.688,2,3,"NS"
"OTU990",48,37.892,32,44,"Generalists"
"OTU7334",52,45.736,40,52,"NS"
"OTU750",72,65.756,60,71,"Generalists"
"OTU435",72,56.704,51,63,"Generalists"
"OTU11580",39,22.604,18,28,"Generalists"
"OTU14444",21,16.84,13,21,"NS"
"OTU442",73,53.218,47,59,"Generalists"
"OTU562",53,29.57,24,35,"Generalists"
"OTU49620",52,34.252,28,40,"Generalists"
"OTU11272",4,3.514,2,4,"NS"
"OTU1050",17,17.448,14,22,"NS"
"OTU502",10,11.518,9,15,"NS"
"OTU19479",67,46.432,40.475,52,"Generalists"
"OTU1084",21,18.28,14,23,"NS"
"OTU5535",4,5.334,3,7,"NS"
"OTU8191",64,39.08,32,45,"Generalists"
"OTU66749",1,1.9,1,2,"NS"
"OTU5258",9,10.248,8,13,"NS"
"OTU9845",3,2.68,2,3,"NS"
"OTU97829",68,66.634,61,71,"NS"
"OTU1711",1,2.686,2,3,"Specialists"
"OTU6176",22,13.364,10,17,"Generalists"
"OTU1995",77,54.898,49,61,"Generalists"
"OTU3103",31,25.828,21,31,"NS"
"OTU2544",3,4.184,3,5,"NS"
"OTU28925",64,49.386,43,55.525,"Generalists"
"OTU253",57,44.67,38,51,"Generalists"
"OTU399",66,61.82,55.475,68,"NS"
"OTU6487",2,2.706,2,3,"NS"
"OTU72",75,68.482,63,74,"Generalists"
"OTU6664",1,13.17,10,17,"Specialists"
"OTU2081",1,1.914,1,2,"NS"
"OTU3759",7,6.002,4,8,"NS"
"OTU1029",22,15.392,11,20,"Generalists"
"OTU810",40,35.946,30,42,"NS"
"OTU289",55,46.134,40,52.525,"Generalists"
"OTU15897",6,7.08,5,9,"NS"
