"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU1145",1,2.246,1,4,"NS"
"OTU2134",34,15.646,11,21,"Generalists"
"OTU3291",19,28.146,22,34,"Specialists"
"OTU1586",5,15.8,10,21,"Specialists"
"OTU609",4,9.642,6,13,"Specialists"
"OTU1526",3,1.682,1,3,"NS"
"OTU541",2,1.364,1,2,"NS"
"OTU3097",6,3.124,1,5,"Generalists"
"OTU390",2,1.852,1,3,"NS"
"OTU1245",1,3.344,1.475,6,"Specialists"
"OTU4829",1,16.15,11.475,21,"Specialists"
"OTU11424",2,1.44,1,2,"NS"
"OTU340",4,1.898,1,3,"Generalists"
"OTU1823",11,7.256,4,10,"Generalists"
"OTU11147",2,1.86,1,3,"NS"
"OTU4256",1,1.414,1,2,"NS"
"OTU203",7,9.728,6,13,"NS"
"OTU4534",4,2.294,1,4,"NS"
"OTU1108",8,7.526,4,11,"NS"
"OTU180",5,2.57,1,4,"Generalists"
"OTU2140",1,1.414,1,2,"NS"
"OTU4588",4,1.854,1,3,"Generalists"
"OTU10570",6,3.274,1,6,"NS"
"OTU2126",4,5.478,3,8.52499999999998,"NS"
"OTU1431",1,1.622,1,3,"NS"
"OTU5074",4,2.036,1,3.52499999999998,"Generalists"
"OTU140",8,4.08,2,7,"Generalists"
"OTU707",3,17.16,12,22,"Specialists"
"OTU2132",1,14.8,10,20,"Specialists"
"OTU650",2,1.682,1,3,"NS"
"OTU3915",11,2.774,1,5,"Generalists"
"OTU3674",3,2.394,1,4,"NS"
"OTU1040",19,18.024,13,23.525,"NS"
"OTU2629",8,4.752,3,7,"Generalists"
"OTU1571",4,15.616,11,20,"Specialists"
"OTU109",2,2.05,1,4,"NS"
"OTU6936",2,3.028,1,5,"NS"
"OTU142",2,1.824,1,3,"NS"
"OTU658",3,1.642,1,3,"NS"
"OTU1722",5,2.052,1,4,"Generalists"
"OTU12707",1,2.322,1,4,"NS"
"OTU12895",1,2.244,1,4,"NS"
"OTU1423",1,1.402,1,2,"NS"
"OTU38",1,1.412,1,2,"NS"
"OTU730",1,4.472,2,7,"Specialists"
"OTU1465",12,37.084,30,43,"Specialists"
"OTU1924",2,15.838,11,21,"Specialists"
"OTU349",21,16.96,12,22,"NS"
"OTU1679",12,11.098,7,15,"NS"
"OTU1148",1,8.66,5,12.525,"Specialists"
"OTU1616",2,1.386,1,2,"NS"
"OTU4880",3,3.896,2,6,"NS"
"OTU9733",19,10.308,6.475,14,"Generalists"
"OTU8690",12,3.56,2,6,"Generalists"
"OTU7203",2,2.428,1,4,"NS"
"OTU5110",3,2.698,1,5,"NS"
"OTU80",2,1.654,1,3,"NS"
"OTU7646",13,5.964,3,9,"Generalists"
"OTU3642",4,3.13,1,5,"NS"
"OTU1182",6,3.47,2,6,"NS"
"OTU1794",19,10.848,7,15,"Generalists"
"OTU7273",1,1.86,1,3,"NS"
"OTU2210",2,6.652,4,10,"Specialists"
"OTU7580",1,1.362,1,2,"NS"
"OTU6132",1,2.396,1,4,"NS"
"OTU11686",7,5.898,3,9,"NS"
"OTU2040",8,6.086,3,9,"NS"
"OTU9928",6,2.92,1,5,"Generalists"
"OTU8229",7,3.384,2,6,"Generalists"
"OTU323",4,2.304,1,4,"NS"
"OTU12949",7,2.946,1,5,"Generalists"
"OTU4438",6,3.07,1,5,"Generalists"
"OTU309",4,2.734,1,4,"NS"
"OTU921",3,2.596,1,4,"NS"
"OTU4461",4,8.292,5,12,"Specialists"
"OTU11611",2,3.026,1,5,"NS"
"OTU4224",8,6.944,4,10,"NS"
"OTU11740",1,1.406,1,2,"NS"
"OTU8753",15,7.652,4,11,"Generalists"
"OTU3675",1,5.192,3,8,"Specialists"
"OTU5089",3,3.092,1,5,"NS"
"OTU47",1,1.676,1,3,"NS"
"OTU2949",8,4.47,2,7,"Generalists"
"OTU8637",1,2.212,1,4,"NS"
"OTU1597",5,4.422,2,7,"NS"
"OTU744",2,3.52,1.475,6,"NS"
"OTU2611",14,7.336,4,11,"Generalists"
"OTU1934",1,1.392,1,2,"NS"
"OTU853",2,2.634,1,4,"NS"
"OTU6458",3,3.978,2,6,"NS"
"OTU65",7,4.198,2,7,"NS"
"OTU86",4,16.336,11,22,"Specialists"
"OTU4105",2,12.752,8,17,"Specialists"
"OTU5819",4,4.358,2,7,"NS"
"OTU6148",2,4.802,2.475,8,"Specialists"
"OTU158",3,2.802,1,5,"NS"
"OTU7599",2,1.662,1,3,"NS"
"OTU2846",1,2.802,1,5,"NS"
"OTU1843",6,7.27,4,11,"NS"
"OTU155",1,1.392,1,2,"NS"
"OTU77",3,2.332,1,4,"NS"
"OTU9345",14,4.874,3,8,"Generalists"
"OTU4875",3,2.558,1,4,"NS"
"OTU6246",1,1.872,1,3,"NS"
"OTU5509",3,2.496,1,4,"NS"
"OTU420",2,23.1,18,29,"Specialists"
"OTU10341",2,2.092,1,3.52499999999998,"NS"
"OTU11927",1,1.402,1,2,"NS"
"OTU1076",2,2.17,1,4,"NS"
"OTU172",3,1.714,1,3,"NS"
"OTU770",3,12.574,8,17,"Specialists"
"OTU8659",26,8.298,5,12,"Generalists"
"OTU2678",3,6.44,3,10,"NS"
"OTU2281",2,3.086,2,5,"NS"
"OTU2874",6,3.516,2,6,"NS"
"OTU1186",6,7.368,4,11,"NS"
"OTU4787",1,1.402,1,2,"NS"
"OTU7868",1,6.854,4,10,"Specialists"
"OTU2604",12,6.456,3,10,"Generalists"
"OTU2772",5,6.408,4,10,"NS"
"OTU8599",1,1.866,1,3,"NS"
"OTU2155",9,8.462,5,12,"NS"
"OTU5472",2,1.876,1,3,"NS"
"OTU13010",1,1.664,1,3,"NS"
"OTU2255",3,4.772,3,8,"NS"
"OTU4201",1,11.756,8,16,"Specialists"
"OTU960",3,4.032,2,7,"NS"
"OTU735",16,19.294,14,25,"NS"
"OTU333",4,2.48,1,4,"NS"
"OTU11109",2,2.746,1,5,"NS"
"OTU4782",10,7.148,4,10,"NS"
"OTU4364",8,4.104,2,6.52499999999998,"Generalists"
"OTU4064",9,3.39,2,6,"Generalists"
"OTU144",6,6.682,4,10,"NS"
"OTU12548",5,2.166,1,4,"Generalists"
"OTU84",22,28.64,23,35,"Specialists"
"OTU5960",4,3.546,1,6,"NS"
"OTU6325",5,2.436,1,4,"Generalists"
"OTU3538",5,5.248,3,8,"NS"
"OTU61",2,1.392,1,2,"NS"
"OTU2233",6,6.856,4,10,"NS"
"OTU6175",4,7.198,4,11,"NS"
"OTU1032",7,7.398,4,11,"NS"
"OTU11829",1,1.672,1,3,"NS"
"OTU2857",5,3.564,2,6,"NS"
"OTU2471",4,10.574,6,15,"Specialists"
"OTU11561",2,5.552,3,9,"Specialists"
"OTU5458",2,1.636,1,3,"NS"
"OTU870",10,11.5,7,16,"NS"
"OTU3802",8,8.61,5,13,"NS"
"OTU6066",2,1.426,1,2,"NS"
"OTU4430",10,16.264,12,21,"Specialists"
"OTU2662",1,2.088,1,3.52499999999998,"NS"
"OTU7945",1,2.334,1,4,"NS"
"OTU683",3,2.476,1,4,"NS"
"OTU4289",3,2.444,1,4,"NS"
"OTU2157",11,12.072,8,17,"NS"
"OTU6329",1,1.412,1,2,"NS"
"OTU5956",2,9.076,6,12.525,"Specialists"
