"","rich_current_names","sobs","chao","shannonH","simpson_inv","simpsonD","simpsoneven","shannoneven"
"SRR13801313","SRR13801313",189,236.222222222222,3.64474337796036,0.95907983406717,0.0409201659328304,0.129300680248716,0.695329890490506
"SRR13801312","SRR13801312",165,200.875,3.43249484432434,0.947217535582889,0.0527824644171111,0.114822339720866,0.67225450445364
"SRR13801310","SRR13801310",180,251.55,2.98089234085914,0.875586259883571,0.124413740116429,0.0446538746472581,0.574026017633505
"SRR13801309","SRR13801309",160,297.8,2.67403409283327,0.790718765522783,0.209281234477217,0.0298641204769861,0.526885224069921
"SRR13801307","SRR13801307",87,123.25,2.08466262098965,0.803895257871482,0.196104742128518,0.0586128247017629,0.466794785204333
"SRR13801306","SRR13801306",76,95.0909090909091,2.09344275362956,0.776169134754913,0.223830865245087,0.0587849880419069,0.48339220846397
"SRR13801305","SRR13801305",119,150.058823529412,2.9051203987072,0.902730774576791,0.0972692254232086,0.0863928062341983,0.607877240019963
"SRR13801308","SRR13801308",86,98.3529411764706,2.61406628707213,0.884374744462847,0.115625255537153,0.100565459706231,0.586857313364583
"SRR13801304","SRR13801304",105,132,2.79785619095802,0.899045430460201,0.100954569539799,0.0943375774590861,0.601177487655932
"SRR13801302","SRR13801302",101,126.588235294118,2.46531729599731,0.812119840846575,0.187880159153425,0.0526984336378204,0.534182647452217
"SRR13801301","SRR13801301",102,129.066666666667,2.5058291348549,0.856077038969543,0.143922961030457,0.0681192319726714,0.541804078860188
"SRR13801299","SRR13801299",74,89.5454545454545,2.44820241816456,0.86601175670252,0.13398824329748,0.100855964530491,0.568811661800865
"SRR13801298","SRR13801298",101,113.666666666667,2.77548729197604,0.900367187833469,0.0996328121665313,0.0993747931400439,0.601389992276014
"SRR13801297","SRR13801297",98,125.083333333333,2.56035137494309,0.864038814442073,0.135961185557927,0.0750514317066287,0.558423017579499
"SRR13801296","SRR13801296",86,105.090909090909,2.44485811068362,0.854554037537831,0.145445962462169,0.0799465779585918,0.54887011453731
"SRR13801294","SRR13801294",88,109.230769230769,1.7329559261017,0.664275620672872,0.335724379327128,0.0338481119137424,0.387050605730152
"SRR13801293","SRR13801293",76,97.1111111111111,1.72143752825184,0.738865127353854,0.261134872646146,0.0503873519591995,0.397493309559906
"SRR13801292","SRR13801292",106,128.894736842105,2.24126239226074,0.811582538559042,0.188417461440958,0.0500694691033566,0.480602908503833
"SRR13801295","SRR13801295",105,130.3,2.23941627410563,0.790857351675878,0.209142648324122,0.0455373860861218,0.481185078001327
"SRR13801291","SRR13801291",70,93.75,2.26104804587049,0.840252810380996,0.159747189619004,0.0894270147711871,0.532199735918693
"SRR13801290","SRR13801290",136,177.352941176471,2.56305237842229,0.830621199776542,0.169378800223458,0.0434112248213473,0.521724492771544
"SRR13801288","SRR13801288",74,89.3,2.34944667290838,0.862431949918705,0.137568050081295,0.0982314825682837,0.545866900716256
"SRR13801287","SRR13801287",74,95,2.13001169176258,0.75830430274924,0.24169569725076,0.0559112705241632,0.494883707759376
"SRR13801286","SRR13801286",65,76.3333333333333,1.61144173105746,0.713380578097548,0.286619421902452,0.0536761091851319,0.386030721844776
"SRR13801285","SRR13801285",72,79.8571428571429,2.39276649116537,0.840740412402372,0.159259587597628,0.0872091225300633,0.559493405511833
"SRR13801284","SRR13801284",88,121.833333333333,1.92855357705664,0.699705812730492,0.300294187269508,0.0378416794109894,0.43073676539597
"SRR13801283","SRR13801283",68,81.5714285714286,1.7008435154716,0.662692736576785,0.337307263423215,0.0435978822504332,0.403090510626432
"SRR13801279","SRR13801279",88,108,1.94991437237824,0.792654769716758,0.207345230283242,0.0548053907394599,0.435507636162835
"SRR13801282","SRR13801282",69,80.4,1.82111834459129,0.777013863384033,0.222986136615967,0.0649939670830221,0.430106881490575
"SRR13801277","SRR13801277",69,79.4615384615385,2.15796722836953,0.841746886765947,0.158253113234053,0.0915795798705957,0.509662953925812
"SRR13801276","SRR13801276",100,133.214285714286,2.2097825810914,0.837353973464944,0.162646026535056,0.0614832111981822,0.47984819058696
"SRR13801275","SRR13801275",95,114.090909090909,2.30294352464296,0.840619552612393,0.159380447387607,0.0660452142154809,0.505710536200629
"SRR13801274","SRR13801274",107,153.5,2.71196009153564,0.885996599196259,0.114003400803741,0.0819782070239494,0.580367950038113
"SRR13801220","SRR13801220",107,168.5,2.54440777538785,0.876665144583801,0.123334855416199,0.07577577612578,0.544511229819282
"SRR13801217","SRR13801217",74,81.5,1.74289338686096,0.772206207909171,0.227793792090829,0.0593234494648793,0.404941223963566
"SRR13801221","SRR13801221",107,149.5,2.42893527032369,0.858774924986409,0.141225075013591,0.0661765935803112,0.519799752220838
"SRR13801216","SRR13801216",72,93.0833333333333,2.25342899126437,0.844430662050542,0.155569337949458,0.0892778041737323,0.526912536203042
"SRR13801215","SRR13801215",92,132.6,2.08218481756642,0.764734360188128,0.235265639811872,0.046201243947408,0.460478145337187
"SRR13801214","SRR13801214",102,127.588235294118,2.24821680188925,0.814865394558745,0.185134605441255,0.0529556402773027,0.486103787557781
"SRR13801213","SRR13801213",106,118.666666666667,2.34744262716341,0.843581731472061,0.156418268527939,0.0603124069390008,0.503371563301262
"SRR13801212","SRR13801212",182,237,3.32098374704847,0.935823920575887,0.0641760794241133,0.085616097832879,0.638159008383969
"SRR13801211","SRR13801211",99,118.117647058824,2.65886898594539,0.89652529667326,0.10347470332674,0.097618159571952,0.57862886554907
"SRR13801210","SRR13801210",105,124.333333333333,2.50301761489351,0.872969598525042,0.127030401474958,0.0749726790849115,0.537825298577972
"SRR13801207","SRR13801207",88,129.333333333333,2.30528231310636,0.809545433509057,0.190454566490943,0.0596658645314065,0.514878019820142
"SRR13801203","SRR13801203",88,153,2.21735872088003,0.740443574973174,0.259556425026826,0.0437809865907264,0.495240544269494
"SRR13801202","SRR13801202",109,168.5,2.98629862162115,0.908146715967454,0.0918532840325456,0.0998800644226814,0.636554503436693
"SRR13801201","SRR13801201",147,173.037037037037,3.20437699245036,0.933682489918058,0.0663175100819423,0.102578053368257,0.642104053452156
"SRR13801200","SRR13801200",91,133.857142857143,2.45034773127268,0.843108357446659,0.156891642553341,0.070042041820519,0.543210828830438
"SRR13801193","SRR13801193",88,104.866666666667,1.87419629222563,0.668483511394358,0.331516488605642,0.0342777410904411,0.418596225811092
"SRR13801192","SRR13801192",149,190.130434782609,2.81741515345747,0.8502513000245,0.1497486999755,0.0448178140916829,0.563038646140137
"SRR13801191","SRR13801191",152,246.230769230769,3.24221593838483,0.931482329688934,0.0685176703110661,0.096018258334719,0.64536087690212
"SRR13801194","SRR13801194",108,130.235294117647,2.3608257100366,0.779063554738149,0.220936445261851,0.0419091528710228,0.504220320942741
"SRR13801190","SRR13801190",99,139.615384615385,1.99902657232406,0.77642981196687,0.22357018803313,0.0451804875680173,0.435032520917928
"SRR13801189","SRR13801189",118,162.4,2.2728467046344,0.819864189869636,0.180135810130364,0.0470454834330463,0.476419399634694
"SRR13801188","SRR13801188",62,102.625,1.73015110885735,0.748295396180111,0.251704603819889,0.0640792103652022,0.41921365951316
"SRR13801187","SRR13801187",74,91.7692307692308,2.42236261352543,0.865240728310788,0.134759271689212,0.100278914720458,0.56280808051676
"SRR13801184","SRR13801184",105,150.769230769231,2.01593812114041,0.669498389656654,0.330501610343346,0.0288162272913453,0.433166157307759
"SRR13801183","SRR13801183",102,142.6,2.82407005858512,0.909706811817242,0.0902931881827581,0.108578750689186,0.610613331709446
"SRR13801182","SRR13801182",117,161.4,2.44728967140475,0.794336976169358,0.205663023830642,0.0415583141189578,0.513901782024827
"SRR13801181","SRR13801181",92,115,2.65704354925814,0.88868516274873,0.11131483725127,0.0976470476514782,0.58760897463104
"SRR13801179","SRR13801179",108,157.6,2.67399586622018,0.87286497975794,0.12713502024206,0.0728301237662917,0.571106561629321
"SRR13801178","SRR13801178",105,142.1875,2.61763458019519,0.869176821312475,0.130823178687525,0.0727990989009479,0.562453133084082
"SRR13801177","SRR13801177",118,151,2.65235679865682,0.876078630628873,0.123921369371127,0.0683867222755283,0.555969846561361
"SRR13801176","SRR13801176",163,216.04,3.08978194146784,0.912328886850064,0.087671113149936,0.0699770894280912,0.606582933921352
"SRR13801127","SRR13801127",128,191,2.23316935559958,0.722499081825205,0.277500918174795,0.0281530600020537,0.460254622112674
"SRR13801125","SRR13801125",159,277.588235294118,2.42118130561474,0.745808193949787,0.254191806050213,0.0247423718090199,0.477653790449273
"SRR13801124","SRR13801124",206,269.030303030303,2.86728117687661,0.82915901911883,0.17084098088117,0.0284145461293936,0.53816588187109
"SRR13801123","SRR13801123",190,243.103448275862,3.26628132225751,0.93294126605086,0.0670587339491397,0.0784857927489154,0.622501684257112
"SRR13801122","SRR13801122",154,229,2.3316131031477,0.726328367137332,0.273671632862668,0.0237273641611406,0.462901537336371
"SRR13801121","SRR13801121",132,178.3125,2.73540159080893,0.86863643108076,0.13136356891924,0.0576701564831497,0.560211459358158
"SRR13801120","SRR13801120",148,189.25,2.62880552276817,0.841172294620833,0.158827705379167,0.0425414239954322,0.526054403686166
"SRR13801118","SRR13801118",64,77,1.98561623841235,0.754145780046752,0.245854219953248,0.0635539223323939,0.477439783377683
"SRR13801116","SRR13801116",66,141,2.26035164898969,0.825725322909059,0.174274677090941,0.0869404287784663,0.539507856415017
"SRR13801119","SRR13801119",67,78.6666666666667,2.27056366769016,0.828039561177334,0.171960438822666,0.0867953887331034,0.540007052410657
"SRR13801114","SRR13801114",65,80.3,1.3227689224583,0.619233635576619,0.380766364423381,0.0404043445589353,0.31687738509498
"SRR13801113","SRR13801113",61,82.8571428571429,1.36279602584751,0.596118321265335,0.403881678734665,0.040589715964117,0.331510056225374
"SRR13801112","SRR13801112",74,93,1.18534716880669,0.437523638408147,0.562476361591853,0.0240250336481149,0.275401775562892
"SRR13801111","SRR13801111",89,177,2.14154352252465,0.79601929988566,0.20398070011434,0.0550834223526125,0.477103366395537
"SRR13801110","SRR13801110",67,82,1.64493780134623,0.676841989974422,0.323158010025578,0.0461859915932365,0.391214756997978
"SRR13801109","SRR13801109",62,83,1.95358596085748,0.802182856015339,0.197817143984661,0.0815350577466388,0.473351671788641
"SRR13801108","SRR13801108",68,80.75,2.39274431737301,0.857200034366083,0.142799965633917,0.102982394201979,0.567067175736592
"SRR13801107","SRR13801107",81,132.666666666667,1.49636783933331,0.622270237799845,0.377729762200155,0.0326838926867612,0.340513176206007
"SRR13801105","SRR13801105",91,134.5,2.03389569817673,0.736923201342873,0.263076798657127,0.0417711141579351,0.450888726469613
"SRR13801106","SRR13801106",100,150.214285714286,2.12212937319505,0.809204762907646,0.190795237092354,0.0524122098245016,0.460814538331709
"SRR13800981","SRR13800981",93,108,2.16503008473591,0.798340085377357,0.201659914622643,0.0533209001509498,0.477657487277732
"SRR13800980","SRR13800980",53,66.75,1.59997707606306,0.727098418331538,0.272901581668462,0.069138201445911,0.402987264135851
"SRR13800979","SRR13800979",87,100.125,2.18701236790457,0.838942681658284,0.161057318341716,0.0713674671347489,0.489712799681029
"SRR13800978","SRR13800978",70,85.8333333333333,1.79200305629921,0.719126147757582,0.280873852242418,0.05086167392109,0.42179711973381
"SRR13801074","SRR13801074",187,227.285714285714,3.08051115259331,0.883581963654193,0.116418036345807,0.0459344080242281,0.588883041477656
"SRR13801073","SRR13801073",184,245.894736842105,3.25834113223458,0.917714691469034,0.0822853085309657,0.066048030999974,0.624809448032109
"SRR13801075","SRR13801075",256,364.243243243243,3.40578996803182,0.920908387966493,0.0790916120335075,0.0493889288581588,0.614189537148611
"SRR13801071","SRR13801071",150,203.8125,3.0590428469988,0.898274988386985,0.101725011613015,0.0655361602909239,0.610509978765186
"SRR13801069","SRR13801069",132,175.9375,2.18285364450585,0.779323704263442,0.220676295736558,0.0343297296634047,0.447049394817476
"SRR13801068","SRR13801068",177,237.055555555556,3.39616943449495,0.937046824647454,0.0629531753525455,0.0897447584253722,0.6561188547392
"SRR13801067","SRR13801067",148,181.3,2.54754084750022,0.783698519866269,0.216301480133731,0.0312376815571457,0.509792401830731
"SRR13801066","SRR13801066",189,228.260869565217,3.65540939227533,0.93660986100186,0.0633901389981396,0.0834673243287978,0.697364710996785
"SRR13801065","SRR13801065",209,324,3.41400744296749,0.928655531774477,0.0713444682255234,0.0670646108131421,0.63904789216659
"SRR13801064","SRR13801064",252,325.243902439024,3.54096347079918,0.923696000260169,0.0763039997398309,0.0520058448021635,0.640385004447689
"SRR13800971","SRR13800971",190,260.833333333333,3.45905944021202,0.93952493894079,0.0604750610592102,0.0870302204339036,0.659242151863759
