"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU5452",6,5.654,4,7,"NS"
"OTU45500",52,35.468,30,41,"Generalists"
"OTU6077",30,25.948,21,31,"NS"
"OTU2259",16,22.834,18,28,"Specialists"
"OTU240",68,56.076,50,62,"Generalists"
"OTU246",59,66.084,60.475,72,"Specialists"
"OTU621",68,49.244,43,56,"Generalists"
"OTU11790",7,5.68,4,7,"NS"
"OTU96808",28,25.382,21,30,"NS"
"OTU1798",55,34.988,30,41,"Generalists"
"OTU397",54,41.426,36,48,"Generalists"
"OTU267",58,64.866,59,70,"Specialists"
"OTU1188",26,18.488,14,23,"Generalists"
"OTU2292",26,24.646,20,30,"NS"
"OTU8655",20,15.626,12,19,"Generalists"
"OTU1433",14,13.104,10,16,"NS"
"OTU83546",33,22.064,18,27,"Generalists"
"OTU8861",34,45.3,39,52,"Specialists"
"OTU80511",37,32.762,27,39,"NS"
"OTU1357",50,32.542,26,38,"Generalists"
"OTU2724",11,20.466,16,25,"Specialists"
"OTU1395",31,32.242,27,38,"NS"
"OTU7368",11,9.454,6,12,"NS"
"OTU50",52,51.898,45,58,"NS"
"OTU22976",24,16.022,12,20,"Generalists"
"OTU85267",26,16.89,13,21,"Generalists"
"OTU954",53,49.816,44,56,"NS"
"OTU142",68,63.004,57,69,"NS"
"OTU772",9,13.726,10,17,"Specialists"
"OTU11952",11,9.858,7,13,"NS"
"OTU4915",12,8.914,6,11,"Generalists"
"OTU1436",22,13.766,10,17,"Generalists"
"OTU3711",64,38.942,32.475,45.525,"Generalists"
"OTU203",39,33.766,28,40,"NS"
"OTU4098",12,9.344,6,12,"NS"
"OTU4546",10,7.306,5,9,"Generalists"
"OTU415",45,43.882,37.475,50,"NS"
"OTU2962",2,2.806,2,3,"NS"
"OTU1487",23,18.182,14,22,"Generalists"
"OTU7604",1,1.906,1,2,"NS"
"OTU15315",13,10.228,7,13,"NS"
