"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU128",8,5.524,3,9,"NS"
"OTU3537",1,6.214,3,10,"Specialists"
"OTU184",4,2.81,1,5,"NS"
"OTU11211",1,2.64,1,4,"NS"
"OTU43",3,1.972,1,3,"NS"
"OTU4407",1,3.022,1,5,"NS"
"OTU660",2,2.018,1,3,"NS"
"OTU3582",3,10.744,7,15,"Specialists"
"OTU219",8,23.732,17.475,30,"Specialists"
"OTU1349",1,1.93,1,3,"NS"
"OTU7878",2,1.444,1,2,"NS"
"OTU1264",4,26.656,20.475,34,"Specialists"
"OTU2142",6,5.832,3,9,"NS"
"OTU274",3,5.434,3,8,"NS"
"OTU251",21,10.59,7,15,"Generalists"
"OTU7348",5,3.88,2,6,"NS"
"OTU2059",4,7.512,4,11,"NS"
"OTU8629",13,8.72,5,12,"Generalists"
"OTU1107",6,26.996,20,34,"Specialists"
"OTU2182",3,17.462,12,23,"Specialists"
"OTU606",1,1.404,1,2,"NS"
"OTU5613",7,7.306,4,11,"NS"
"OTU1452",9,13.47,9,18,"NS"
"OTU17",25,66.584,56,76,"Specialists"
"OTU169",5,2.522,1,4,"Generalists"
"OTU152",5,4.072,2,7,"NS"
"OTU2288",7,5.68,3,9,"NS"
"OTU1151",21,10.922,7,16,"Generalists"
"OTU70",8,2.736,1,5,"Generalists"
"OTU3170",8,3.686,2,6,"Generalists"
"OTU6797",18,5.648,3,8,"Generalists"
"OTU1149",12,14.99,10,20,"NS"
"OTU2781",15,9.32,6,13,"Generalists"
"OTU2498",12,4.958,2,8,"Generalists"
"OTU4109",2,2.952,1,5,"NS"
"OTU196",61,36.164,28.475,43,"Generalists"
"OTU10381",2,1.94,1,3,"NS"
"OTU217",3,2.626,1,4.52499999999998,"NS"
"OTU11998",1,1.75,1,3,"NS"
"OTU113",7,55.866,47,65.525,"Specialists"
"OTU903",6,37.424,30,45,"Specialists"
"OTU253",33,37.054,30,45,"NS"
"OTU2634",10,9.29,6,13,"NS"
"OTU199",5,2.166,1,4,"Generalists"
"OTU69",6,3.114,1,5,"Generalists"
"OTU2520",2,6.618,4,10,"Specialists"
"OTU11321",3,1.704,1,3,"NS"
"OTU4803",9,25.724,20,32,"Specialists"
"OTU490",14,17.788,13,23,"NS"
"OTU7056",19,4.204,2,7,"Generalists"
"OTU7184",1,2.834,1,5,"NS"
"OTU2395",1,1.668,1,3,"NS"
"OTU481",2,5.858,3,9,"Specialists"
"OTU5178",3,2.386,1,4,"NS"
"OTU4147",1,2.41,1,4,"NS"
"OTU1416",9,23.228,17,30,"Specialists"
"OTU3849",5,4.83,2,8,"NS"
"OTU9132",3,1.942,1,3,"NS"
"OTU209",7,37.462,30,45.525,"Specialists"
"OTU5609",2,1.7,1,3,"NS"
"OTU5437",5,2.35,1,4,"Generalists"
"OTU165",12,61.272,53,70,"Specialists"
"OTU7615",7,4.876,3,8,"NS"
"OTU2001",4,4.558,2,7,"NS"
"OTU558",35,27.672,22,35,"NS"
"OTU4759",9,4.776,2,7,"Generalists"
"OTU511",7,21.642,16,27,"Specialists"
"OTU5378",3,5.22,3,8,"NS"
"OTU3961",4,6.024,3,9,"NS"
"OTU1003",1,20.464,15,27,"Specialists"
"OTU10836",6,8.376,5,12,"NS"
"OTU4365",2,3.792,2,6,"NS"
"OTU7317",5,3.176,2,5,"NS"
"OTU212",14,4.022,2,6,"Generalists"
"OTU1916",36,10.15,6,15,"Generalists"
"OTU12322",2,1.42,1,2,"NS"
"OTU3187",3,3.036,1,5,"NS"
"OTU10979",5,5.804,3,9,"NS"
"OTU4114",8,7.208,4,11,"NS"
"OTU12413",2,1.97,1,3,"NS"
"OTU1119",1,17.558,12,23,"Specialists"
"OTU4916",3,2.732,1,5,"NS"
"OTU885",19,37.924,30,46,"Specialists"
"OTU386",13,14.796,10,19.525,"NS"
"OTU3639",12,7.354,4,11,"Generalists"
"OTU9306",9,3.046,1,5,"Generalists"
"OTU4456",1,4.424,2,7,"Specialists"
"OTU3574",7,3.83,2,6,"Generalists"
"OTU2556",7,2.854,1,5,"Generalists"
"OTU775",7,4.38,2,7,"NS"
"OTU554",4,2.682,1,4,"NS"
"OTU610",1,1.46,1,2,"NS"
"OTU161",23,14.92,10,20,"Generalists"
"OTU3280",2,5.012,3,8,"Specialists"
"OTU4465",2,3.272,1,5,"NS"
"OTU445",4,51.42,43,60,"Specialists"
"OTU2656",9,4.806,3,7,"Generalists"
"OTU1621",15,6.798,4,10,"Generalists"
"OTU2524",17,6.804,4,10,"Generalists"
"OTU3827",3,2.62,1,4.52499999999998,"NS"
"OTU5475",7,4.174,2,7,"NS"
"OTU1177",2,1.664,1,3,"NS"
"OTU10225",2,1.416,1,2,"NS"
"OTU1282",22,8.174,5,12,"Generalists"
"OTU2351",2,10.622,7,16,"Specialists"
"OTU329",18,8.346,5,12,"Generalists"
"OTU751",8,27.21,21,34.525,"Specialists"
"OTU6675",2,1.422,1,2,"NS"
"OTU354",3,1.732,1,3,"NS"
"OTU7555",3,3.36,2,5.52499999999998,"NS"
"OTU9550",3,1.742,1,3,"NS"
"OTU1225",2,1.466,1,2,"NS"
"OTU456",4,43.394,34.475,52,"Specialists"
"OTU257",3,38.952,32,47,"Specialists"
"OTU1081",16,19.752,14,26,"NS"
"OTU963",5,9.786,6,14,"Specialists"
"OTU952",2,3.994,2,6.52499999999998,"NS"
"OTU1120",4,28.43,21,35,"Specialists"
"OTU575",6,41.57,34,49,"Specialists"
"OTU499",3,1.97,1,3,"NS"
"OTU1771",4,4.91,2,8,"NS"
"OTU1331",7,13.944,9,19,"Specialists"
"OTU10292",1,2.04,1,3,"NS"
"OTU2367",12,11.058,7,16,"NS"
"OTU5995",3,2.024,1,3,"NS"
"OTU1392",3,2.958,1,5,"NS"
"OTU12152",2,1.448,1,2,"NS"
"OTU1980",2,2.49,1,4,"NS"
"OTU560",10,23.916,18,31,"Specialists"
"OTU777",3,4.146,2,7,"NS"
"OTU9753",2,1.418,1,2,"NS"
"OTU4712",5,2.744,1,5,"NS"
"OTU1204",10,9.728,6,14,"NS"
"OTU3566",2,8.078,5,12,"Specialists"
"OTU321",11,5.152,3,8,"Generalists"
"OTU272",6,3.216,1,5,"Generalists"
