"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU2262",49,33.172,27,39,"Generalists"
"OTU284",39,41.654,35,49,"NS"
"OTU1648",39,22.85,18,28,"Generalists"
"OTU879",27,39.11,33,46,"Specialists"
"OTU5217",14,10.966,8,14,"NS"
"OTU803",42,38.396,32,45,"NS"
"OTU371",55,43.076,36,50,"Generalists"
"OTU3291",11,12.16,9,15,"NS"
"OTU7360",65,52.574,45,60,"Generalists"
"OTU11373",121,71.93,64,80.525,"Generalists"
"OTU172",92,99.142,90.475,108,"NS"
"OTU14681",1,1.942,1,2,"NS"
"OTU48037",3,2.796,2,3,"NS"
"OTU1697",36,34.362,29,41,"NS"
"OTU88539",43,31.17,26,37,"Generalists"
"OTU981",84,47.198,39.475,54,"Generalists"
"OTU1085",34,38.872,32.475,46,"NS"
"OTU674",78,43.814,37,51,"Generalists"
"OTU354",85,61.526,54,69.525,"Generalists"
"OTU48233",56,31.332,25,37.525,"Generalists"
"OTU2268",3,19.642,15,24,"Specialists"
"OTU81",109,109.502,100,118,"NS"
"OTU1171",48,31.644,25.475,37,"Generalists"
"OTU1274",6,7.742,6,10,"NS"
"OTU544",116,93.068,85,101,"Generalists"
"OTU8072",61,58.452,50.475,66,"NS"
"OTU79182",109,60.512,53,69,"Generalists"
"OTU2880",51,31.344,26,37,"Generalists"
"OTU520",123,78.584,70,87.525,"Generalists"
"OTU656",71,51.178,44,59,"Generalists"
"OTU984",54,47.984,41,55,"NS"
"OTU8771",4,3.636,2,4,"NS"
"OTU2437",46,32.656,27,39,"Generalists"
"OTU1575",8,7.648,6,10,"NS"
"OTU3359",10,13.15,10,16,"NS"
"OTU13340",24,18.628,15,23,"Generalists"
"OTU2819",10,7.79,5.475,10,"NS"
"OTU192",103,96.822,88,105,"NS"
"OTU153",147,98.322,89,108,"Generalists"
"OTU22187",40,37.954,32,44,"NS"
"OTU1018",59,36.316,30,42,"Generalists"
"OTU938",52,35.228,28.475,42,"Generalists"
"OTU3765",4,5.814,4,7,"NS"
"OTU5162",6,5.796,4,7,"NS"
"OTU1176",92,52.668,45,60,"Generalists"
"OTU921",88,51.936,44,60,"Generalists"
"OTU22167",75,77.206,68,86,"NS"
"OTU430",33,36.864,31,43,"NS"
"OTU73",147,151.294,146,155,"NS"
"OTU374",32,32.508,27,39,"NS"
"OTU1341",85,60.828,53,69,"Generalists"
"OTU15809",35,23.74,19,28,"Generalists"
"OTU220",72,72.206,64,80.525,"NS"
"OTU1360",28,23.764,19,29,"NS"
"OTU1477",44,25.064,20,30,"Generalists"
"OTU3509",9,9.394,7,12,"NS"
"OTU22652",2,7.136,5,9,"Specialists"
"OTU968",43,29.008,24,35,"Generalists"
"OTU691",81,58.006,50,66,"Generalists"
"OTU848",110,56.306,49,64,"Generalists"
"OTU16209",53,47.162,40,54,"NS"
"OTU1901",38,34.422,29,41,"NS"
"OTU4097",10,10.358,7,13,"NS"
"OTU649",68,41.684,35,48,"Generalists"
"OTU8396",10,13.498,10,17,"NS"
"OTU70293",26,18.632,15,23,"Generalists"
"OTU1402",87,70.796,63,80,"Generalists"
"OTU87",157,153.262,150,156.525,"Generalists"
"OTU44",150,139.63,134,146,"Generalists"
"OTU3583",111,67.67,59.475,75,"Generalists"
"OTU3575",28,22.654,18,27,"Generalists"
"OTU1216",109,56.67,49,65,"Generalists"
"OTU3931",25,19.808,16,24,"Generalists"
"OTU967",43,29.38,24,35,"Generalists"
"OTU330",115,54.74,47,62.525,"Generalists"
"OTU1690",64,47.79,40.475,55,"Generalists"
"OTU1782",60,32.898,27,39,"Generalists"
"OTU546",145,86.02,77.475,95,"Generalists"
"OTU21967",9,9.29,7,12,"NS"
"OTU56655",7,6.448,4,8,"NS"
"OTU2060",20,19.486,15,24,"NS"
"OTU927",90,49.8,43,57,"Generalists"
"OTU973",68,58.204,50.475,67,"Generalists"
"OTU990",51,44.866,38.475,52,"NS"
"OTU7334",59,52.08,45,59,"NS"
"OTU750",150,130.438,123,138,"Generalists"
"OTU435",101,81.888,73,91,"Generalists"
"OTU11580",93,54.386,47,62,"Generalists"
"OTU14444",5,4.42,3,5,"NS"
"OTU442",149,117.79,110,126,"Generalists"
"OTU562",55,34.176,28,40,"Generalists"
"OTU49620",145,111.804,103,120,"Generalists"
"OTU1050",53,50.008,43,58,"NS"
"OTU502",103,55.042,48,63,"Generalists"
"OTU19479",118,75.686,68,84,"Generalists"
"OTU1084",16,12.146,9,15,"Generalists"
"OTU5535",3,2.812,2,3,"NS"
"OTU8191",69,44.03,37,51,"Generalists"
"OTU5258",12,21.076,16,26,"Specialists"
"OTU4770",34,22.578,18,28,"Generalists"
"OTU9845",7,6.468,5,8,"NS"
"OTU97829",118,90.47,82.475,99,"Generalists"
"OTU1711",13,17.38,14,21,"Specialists"
"OTU8249",2,4.368,3,5,"Specialists"
"OTU6176",41,30.056,24,35,"Generalists"
"OTU1995",127,82.706,74,92,"Generalists"
"OTU12738",6,5.832,4,7,"NS"
"OTU3103",84,53.854,47,60,"Generalists"
"OTU2544",30,33.684,27,41,"NS"
"OTU28925",124,75.838,67,84.525,"Generalists"
"OTU253",45,42.222,36,48,"NS"
"OTU399",56,36.694,31,42.525,"Generalists"
"OTU6487",12,9.376,7,12,"NS"
"OTU72",152,140.54,134,147,"Generalists"
"OTU6664",13,28.992,24,35,"Specialists"
"OTU2081",32,24.04,19,29,"Generalists"
"OTU3759",53,43.904,38,50,"Generalists"
"OTU1029",28,39.822,33,46.525,"Specialists"
"OTU10041",3,2.794,2,3,"NS"
"OTU810",46,42.406,36,49,"NS"
"OTU289",47,37.606,31.475,44,"Generalists"
"OTU15897",28,21.238,16,25,"Generalists"
"OTU2532",62,37.424,31,43,"Generalists"
"OTU5388",6,5.06,3.475,6,"NS"
"OTU22046",81,63.286,55,71,"Generalists"
"OTU3203",22,17.436,14,21,"Generalists"
"OTU1039",64,45.608,38,52.525,"Generalists"
"OTU1338",29,20.084,16,25,"Generalists"
"OTU40272",41,23.744,19,28.525,"Generalists"
"OTU356",122,93.68,85,102,"Generalists"
"OTU9690",12,13.088,10,16,"NS"
"OTU155",42,34.066,29,40,"Generalists"
"OTU1568",12,21.488,17,26,"Specialists"
"OTU2634",13,27.126,22,32,"Specialists"
"OTU1547",35,47.172,40,54,"Specialists"
"OTU4106",12,11.912,9,15,"NS"
"OTU3708",11,10.932,8,14,"NS"
"OTU130",68,44.358,38,52,"Generalists"
"OTU991",87,38.168,32,44.525,"Generalists"
"OTU711",89,53.816,46.475,62,"Generalists"
"OTU462",94,57.4,50,65,"Generalists"
"OTU514",108,112.944,103,121,"NS"
"OTU118",109,114.818,106,124,"NS"
"OTU39408",34,23.67,19,28.525,"Generalists"
"OTU630",122,83.798,75,93,"Generalists"
"OTU487",88,45.116,38,52,"Generalists"
"OTU56",106,92.08,83,101.525,"Generalists"
"OTU1177",42,30.2,25,36,"Generalists"
"OTU4510",41,24.596,20,30,"Generalists"
"OTU1107",36,25.582,21,30,"Generalists"
"OTU2693",17,14.152,10,18,"NS"
"OTU89",109,91.604,83,100,"Generalists"
"OTU14",138,144.666,138,151,"NS"
"OTU1923",7,7.7,6,10,"NS"
"OTU2446",2,4.346,3,5,"Specialists"
"OTU974",96,72.228,64,81,"Generalists"
"OTU3121",11,11.376,8,14,"NS"
"OTU695",74,48.452,41,55.525,"Generalists"
"OTU3622",12,11.836,9,15,"NS"
"OTU83489",15,12.24,9,15,"NS"
"OTU56811",20,30.824,25,37,"Specialists"
"OTU449",130,84.816,76.475,93,"Generalists"
"OTU288",25,56.742,49,64,"Specialists"
"OTU7233",6,6.45,4,8,"NS"
"OTU6217",12,40.306,34,47,"Specialists"
"OTU52323",75,79.756,71,88,"NS"
"OTU5139",15,16.54,13,21,"NS"
"OTU11832",2,1.924,1,2,"NS"
"OTU3165",14,13.866,10,17,"NS"
"OTU69171",59,37.974,32,44,"Generalists"
"OTU535",57,44.856,38,53,"Generalists"
"OTU2828",4,5.106,4,6,"NS"
"OTU4949",15,13.72,10,17,"NS"
"OTU4568",16,12.278,9,15,"Generalists"
"OTU389",79,44.638,38,52,"Generalists"
"OTU60216",7,7.1,5,9,"NS"
"OTU112",119,98.976,90.475,107,"Generalists"
"OTU2916",86,45.094,38,52,"Generalists"
"OTU10919",22,30.634,25,37,"Specialists"
"OTU1616",57,35.782,30,42,"Generalists"
"OTU126",68,92.364,84,101,"Specialists"
"OTU379",103,82.81,75,92,"Generalists"
"OTU6578",4,4.366,3,5,"NS"
"OTU63",113,95.646,87,104,"Generalists"
"OTU2696",11,9.908,7,12,"NS"
"OTU4869",2,1.942,1,2,"NS"
"OTU2769",39,39.012,32,46,"NS"
"OTU44620",52,37.552,31,44,"Generalists"
"OTU1445",40,27.78,23,33,"Generalists"
"OTU1659",89,52.802,45.475,60,"Generalists"
"OTU14751",6,11.306,9,14,"Specialists"
"OTU6055",26,22.24,18,27,"NS"
"OTU4380",12,14.62,11,18,"NS"
"OTU2132",36,26.906,22,32,"Generalists"
"OTU45281",4,3.626,3,4,"NS"
"OTU2044",32,20.284,15.475,25,"Generalists"
"OTU833",5,15.068,11,19,"Specialists"
"OTU25570",111,65.562,58,74,"Generalists"
"OTU2804",3,2.76,2,3,"NS"
"OTU1200",45,38.554,32.475,45,"NS"
"OTU10070",3,2.794,2,3,"NS"
"OTU1975",22,36.41,30,43.525,"Specialists"
"OTU145",126,95.706,87,104.525,"Generalists"
"OTU1663",20,14.312,11,18,"Generalists"
"OTU725",32,33.844,28,40,"NS"
"OTU1319",21,19.982,16,24,"NS"
"OTU18",91,145.534,140,151,"Specialists"
"OTU429",92,56.354,49,64.525,"Generalists"
"OTU144",138,108.44,100,117,"Generalists"
"OTU361",75,53.17,46,61,"Generalists"
"OTU21464",6,5.832,4,7,"NS"
"OTU10508",12,8.844,6,11,"Generalists"
"OTU18682",2,1.924,1,2,"NS"
"OTU1649",43,36.024,30,42,"Generalists"
"OTU24738",2,1.94,1,2,"NS"
"OTU20150",8,10.516,8,13,"NS"
"OTU3328",75,46.066,39,54,"Generalists"
"OTU5452",13,10.416,8,13,"NS"
"OTU45500",28,22.818,18,28,"NS"
"OTU6077",58,43.252,37,50,"Generalists"
"OTU2259",8,8.252,6,11,"NS"
"OTU240",104,97.464,88,107,"NS"
"OTU246",75,68.578,60,77,"NS"
"OTU621",98,67.398,59.475,76,"Generalists"
"OTU96808",24,19.916,16,24,"NS"
"OTU1798",102,59.238,51,67,"Generalists"
"OTU397",79,65.268,58,73,"Generalists"
"OTU267",78,76.642,68.475,85,"NS"
"OTU1188",89,52.114,45,59,"Generalists"
"OTU2292",23,22.454,18,27,"NS"
