"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU152",4,21.534,16,27,"Specialists"
"OTU2288",4,2.072,1,3,"Generalists"
"OTU1151",2,2.662,1,4,"NS"
"OTU70",8,2.558,1,4,"Generalists"
"OTU3170",3,1.588,1,3,"NS"
"OTU6797",11,5.538,3,8.52499999999998,"Generalists"
"OTU1149",9,16.906,12,22,"Specialists"
"OTU2781",3,1.67,1,3,"NS"
"OTU2498",3,1.804,1,3,"NS"
"OTU4109",3,4.758,2,7,"NS"
"OTU196",9,6.058,3,9,"NS"
"OTU11998",5,3.246,1,5,"NS"
"OTU253",4,9.204,6,13.525,"Specialists"
"OTU199",2,1.362,1,2,"NS"
"OTU69",4,2.37,1,4,"NS"
"OTU490",4,8.222,5,12,"Specialists"
"OTU7056",7,2.264,1,4,"Generalists"
"OTU6369",1,1.362,1,2,"NS"
"OTU3849",5,3.156,1,5,"NS"
"OTU209",4,1.978,1,4,"NS"
"OTU5609",2,2.522,1,4,"NS"
"OTU5437",6,2.77,1,5,"Generalists"
"OTU558",21,23.148,18,29,"NS"
"OTU4759",10,37.67,30,45,"Specialists"
"OTU511",4,10.306,7,14,"Specialists"
"OTU1003",1,9.72,6,14,"Specialists"
"OTU5477",2,1.38,1,2,"NS"
"OTU586",2,4.68,2,8,"NS"
"OTU7317",3,1.598,1,3,"NS"
"OTU1916",22,11.402,7,16,"Generalists"
"OTU3810",2,2.318,1,4,"NS"
"OTU885",3,2.072,1,3,"NS"
"OTU386",12,27.596,22,33.525,"Specialists"
"OTU3639",3,1.57,1,3,"NS"
"OTU3574",3,1.956,1,3,"NS"
"OTU2556",18,10.032,6,14,"Generalists"
"OTU775",11,17.006,12,22,"Specialists"
"OTU554",4,2.266,1,4,"NS"
"OTU161",2,1.612,1,3,"NS"
"OTU6503",2,1.982,1,3,"NS"
"OTU4465",14,6.758,4,10,"Generalists"
"OTU2656",28,15.952,12,21,"Generalists"
"OTU1621",29,15.438,11,21,"Generalists"
"OTU3827",3,6.57,4,10,"Specialists"
"OTU5475",5,3.01,1,5,"NS"
"OTU1282",45,15.212,11,20,"Generalists"
"OTU329",17,14.186,10,19,"NS"
"OTU751",5,13.41,9,18,"Specialists"
"OTU7555",8,30.07,24,36,"Specialists"
"OTU9550",13,4.02,2,6,"Generalists"
"OTU1225",2,1.354,1,2,"NS"
"OTU1081",2,1.818,1,3,"NS"
"OTU952",3,21.538,17,27,"Specialists"
"OTU1120",4,10.278,7,15,"Specialists"
"OTU6028",3,1.642,1,3,"NS"
"OTU1392",3,2.884,1,5,"NS"
"OTU12152",1,2.81,1,5,"NS"
"OTU777",13,16.026,11,21,"NS"
"OTU1204",11,5.616,3,9,"Generalists"
"OTU4832",8,4.218,2,7,"Generalists"
"OTU11070",2,1.824,1,3,"NS"
"OTU1145",3,7.75,4,11,"Specialists"
"OTU2148",5,2.752,1,5,"NS"
"OTU2134",13,10.392,7,15,"NS"
"OTU3291",13,21.082,15,27,"Specialists"
"OTU1586",1,2.326,1,4,"NS"
"OTU609",8,16.966,12,22,"Specialists"
"OTU1407",1,4.888,2,8,"Specialists"
"OTU264",15,6.186,3,9,"Generalists"
"OTU3097",19,6.634,3.475,10,"Generalists"
"OTU390",13,7.986,4,12,"Generalists"
"OTU1245",7,4.268,2,7,"NS"
"OTU4829",7,15.824,11,21,"Specialists"
"OTU11424",8,4.794,2,8,"NS"
"OTU340",3,1.624,1,3,"NS"
"OTU2051",4,9.146,6,13,"Specialists"
"OTU11147",5,2.562,1,5,"NS"
"OTU4256",8,5.542,3,8,"NS"
"OTU203",2,1.348,1,2,"NS"
"OTU4534",10,2.798,1,5,"Generalists"
"OTU1108",12,21.382,16,27,"Specialists"
"OTU310",6,4.19,2,7,"NS"
"OTU1006",7,15.5,11,21,"Specialists"
"OTU180",3,1.6,1,3,"NS"
"OTU4573",2,3.552,2,6,"NS"
"OTU2140",6,2.116,1,4,"Generalists"
"OTU4588",2,1.4,1,2,"NS"
"OTU10570",4,2.226,1,4,"NS"
"OTU1431",5,16.81,12,22,"Specialists"
"OTU5074",7,6.152,3,9,"NS"
"OTU707",7,15.44,11,20,"Specialists"
"OTU784",14,17.38,13,23,"NS"
"OTU3915",2,1.628,1,3,"NS"
"OTU1697",11,7.166,4,11,"NS"
"OTU1027",6,3.482,2,6,"NS"
"OTU3674",3,1.588,1,3,"NS"
"OTU1040",9,8.526,5,12,"NS"
"OTU242",4,31.026,24,38,"Specialists"
"OTU311",12,2.918,1,5,"Generalists"
"OTU36",6,2.126,1,4,"Generalists"
"OTU2629",15,7.376,4,11,"Generalists"
"OTU3725",4,2.814,1,5,"NS"
"OTU1950",17,10.668,7,15,"Generalists"
"OTU2071",2,1.36,1,2,"NS"
"OTU8674",5,2.366,1,4,"Generalists"
"OTU1790",2,1.562,1,3,"NS"
"OTU1571",6,11.988,8,17,"Specialists"
"OTU109",2,1.632,1,3,"NS"
"OTU285",2,1.928,1,3,"NS"
"OTU9226",4,30.88,25,38,"Specialists"
"OTU1378",1,1.396,1,2,"NS"
"OTU218",5,20.976,16,27,"Specialists"
"OTU111",1,3.998,2,7,"Specialists"
"OTU2545",1,6.484,3.475,10,"Specialists"
"OTU1967",5,5.712,3,8,"NS"
"OTU557",12,22.446,17,28,"Specialists"
"OTU2958",3,1.842,1,3,"NS"
"OTU597",4,1.88,1,3,"Generalists"
"OTU1622",2,5.522,3,8,"Specialists"
"OTU1722",9,5.472,3,8,"Generalists"
"OTU2242",2,7.208,4,10,"Specialists"
"OTU12707",4,5.052,2,8,"NS"
"OTU676",2,1.646,1,3,"NS"
"OTU730",22,14.694,10,20,"Generalists"
"OTU1465",3,11.89,8,16,"Specialists"
"OTU1666",3,2.53,1,4,"NS"
"OTU441",7,8.938,5,13,"NS"
"OTU258",1,12.34,8,17,"Specialists"
"OTU260",1,1.324,1,2,"NS"
"OTU612",19,8.782,5,12.525,"Generalists"
"OTU349",20,15.91,11,21,"NS"
"OTU1679",16,23.584,18,29,"Specialists"
"OTU1148",3,18.788,13.475,24,"Specialists"
"OTU1616",4,14.178,10,19,"Specialists"
"OTU4880",3,2.304,1,4,"NS"
"OTU9733",12,3.962,2,6,"Generalists"
"OTU8690",29,5.72,3,9,"Generalists"
"OTU5110",13,3.53,2,6,"Generalists"
"OTU80",15,47.852,41,54,"Specialists"
"OTU7646",4,2.35,1,4,"NS"
"OTU576",5,2.212,1,4,"Generalists"
"OTU7978",2,3.82,2,6,"NS"
"OTU93",3,2.088,1,4,"NS"
"OTU3642",3,3.796,2,6,"NS"
"OTU1182",4,8.362,5,12,"Specialists"
"OTU1794",11,4.784,2,8,"Generalists"
"OTU7273",3,2.406,1,4,"NS"
"OTU2210",20,7.108,4,11,"Generalists"
"OTU11686",11,4.558,2,7,"Generalists"
"OTU9928",12,4.818,2,7,"Generalists"
"OTU2149",5,2.87,1,5,"NS"
"OTU3057",1,3.01,1,5,"NS"
"OTU323",6,2.362,1,4,"Generalists"
"OTU124",2,2.1,1,4,"NS"
"OTU8287",5,17.086,12.475,23,"Specialists"
"OTU309",25,19.792,15,25,"NS"
"OTU921",7,9.582,6,13.525,"NS"
"OTU4461",4,2.984,1,5,"NS"
"OTU11611",9,4.252,2,7,"Generalists"
"OTU4224",3,2.494,1,4,"NS"
"OTU7918",14,15.498,11,20.525,"NS"
"OTU11740",2,3.836,2,6,"NS"
"OTU8753",10,4.198,2,7,"Generalists"
"OTU3675",8,3.392,1.475,6,"Generalists"
"OTU2133",7,3.136,1,5,"Generalists"
"OTU10353",13,4.952,3,8,"Generalists"
"OTU1597",27,12.838,9,17,"Generalists"
"OTU744",7,10.618,7,15,"NS"
"OTU2145",2,4.728,2,7.52499999999998,"NS"
"OTU8713",2,1.39,1,2,"NS"
"OTU8088",2,2.148,1,4,"NS"
"OTU853",7,5.344,3,8,"NS"
"OTU6458",6,4.066,2,6,"NS"
"OTU65",6,2.66,1,5,"Generalists"
"OTU86",9,30.778,24,37,"Specialists"
"OTU4105",7,5.174,2,8,"NS"
"OTU158",3,2.464,1,4,"NS"
"OTU7599",2,8.652,5.475,13,"Specialists"
"OTU1843",1,2.64,1,4,"NS"
"OTU350",3,11.976,8,17,"Specialists"
"OTU155",3,9.486,6,14,"Specialists"
"OTU77",7,3.14,1,5,"Generalists"
"OTU4875",15,5.504,3,8.52499999999998,"Generalists"
"OTU335",6,13.626,9,19,"Specialists"
"OTU2616",1,1.314,1,2,"NS"
"OTU12395",3,3.016,1,5,"NS"
"OTU948",2,15.934,11,21,"Specialists"
"OTU5509",5,2.1,1,4,"Generalists"
"OTU8870",12,16.346,12,22,"NS"
"OTU420",4,8.786,5,12.525,"Specialists"
"OTU7470",1,2.258,1,4,"NS"
"OTU10341",2,2.082,1,4,"NS"
"OTU1015",1,1.596,1,3,"NS"
"OTU958",7,17.314,12,23,"Specialists"
"OTU11927",12,5.094,2,8,"Generalists"
"OTU151",3,21.67,16,27,"Specialists"
"OTU3278",2,2.286,1,4,"NS"
"OTU12932",4,2.29,1,4,"NS"
"OTU8659",6,3.926,2,6,"NS"
"OTU11585",1,1.978,1,3,"NS"
"OTU12937",3,1.966,1,3,"NS"
"OTU1186",7,6.626,4,10,"NS"
"OTU2600",2,1.782,1,3,"NS"
"OTU7868",13,5.866,3,9,"Generalists"
"OTU2604",28,9.314,6,13,"Generalists"
"OTU2772",9,7.436,4,11,"NS"
"OTU8599",1,1.974,1,3,"NS"
"OTU3804",1,1.786,1,3,"NS"
"OTU3256",6,3.104,1,5,"Generalists"
"OTU2155",22,11.418,7,16,"Generalists"
"OTU5472",8,4.434,2,7,"Generalists"
"OTU2082",5,33.192,26.475,39.525,"Specialists"
"OTU2255",4,2.25,1,4,"NS"
"OTU425",3,2.992,1,5,"NS"
"OTU11931",11,8.606,5,12,"NS"
"OTU960",2,2.532,1,4,"NS"
"OTU735",27,17.54,13,23,"Generalists"
"OTU95",2,1.358,1,2,"NS"
"OTU333",20,13.106,9,17,"Generalists"
"OTU4364",13,9.972,6,14,"NS"
"OTU4064",5,22.938,18,28,"Specialists"
"OTU144",1,2.622,1,4,"NS"
"OTU7737",3,2.408,1,4,"NS"
"OTU10430",5,5.102,2,8,"NS"
"OTU5767",2,1.386,1,2,"NS"
"OTU84",14,17.326,12,23,"NS"
"OTU5960",2,2.918,1,5,"NS"
"OTU6325",6,4.136,2,7,"NS"
"OTU61",2,11.832,7.475,16,"Specialists"
"OTU2233",15,13.218,9,18,"NS"
"OTU6175",2,1.966,1,3,"NS"
"OTU1032",10,8.092,5,11,"NS"
"OTU2857",15,6.84,4,10,"Generalists"
"OTU870",5,4.684,2,7,"NS"
"OTU11610",12,4.368,2,7,"Generalists"
"OTU3802",17,9.808,6,14,"Generalists"
"OTU6066",1,1.552,1,3,"NS"
"OTU12856",8,6.13,3,9,"NS"
"OTU4430",8,4.39,2,7,"Generalists"
"OTU2662",4,5.69,3,9,"NS"
"OTU683",3,2.762,1,5,"NS"
"OTU4289",2,1.61,1,3,"NS"
"OTU6329",3,2.798,1,5,"NS"
"OTU415",13,22.55,17,28,"Specialists"
"OTU9669",1,1.622,1,3,"NS"
"OTU902",2,1.582,1,3,"NS"
"OTU31",5,11.174,7,15,"Specialists"
"OTU4834",1,1.366,1,2,"NS"
"OTU1669",3,1.638,1,3,"NS"
"OTU7255",5,6.694,4,10,"NS"
"OTU1238",13,4.274,2,7,"Generalists"
"OTU1888",1,11.686,7,16,"Specialists"
"OTU11427",4,2.738,1,5,"NS"
"OTU11623",1,3.118,1,5,"NS"
"OTU1352",2,1.334,1,2,"NS"
"OTU1876",1,1.38,1,2,"NS"
"OTU9696",2,2.9,1,5,"NS"
"OTU4863",3,1.96,1,3,"NS"
"OTU1429",11,6.978,4,11,"NS"
"OTU3919",1,1.356,1,2,"NS"
"OTU3053",2,2.072,1,3,"NS"
"OTU4249",1,1.394,1,2,"NS"
"OTU6762",2,1.598,1,3,"NS"
"OTU1393",6,19.222,14,25,"Specialists"
"OTU9278",5,2.942,1,5,"NS"
