"Genus","Family","Order","Class","Phylum","Domain","global_relative_abundance","BOER_SEVonly","BOGR_SEVonly","ANGE_allsites","BOCU_allsites","BOER_allsites","BOGR_allsites","BUDA_allsites","SCSC_allsites","BLM","BNP","CAD","CNF","CPR","DMT","FCP","FMT","FSA","GMT","GNF","HAR","HPG","KAE","KNZ","LAR","LBJ","NWP","ONF","RNF","SCP","SEV","SFA","UHC","BLM_BOGR","BLM_SCSC","BNP_BOER","BNP_BOGR","CAD_ANGE","CAD_BOGR","CAD_BUDA","CAD_SCSC","CNF_BOER","CNF_BOGR","CNF_SCSC","CPR_BOER","CPR_BOGR_E","DMT_BOER","DMT_BOGR","DMT_SCSC","FCP_BOGR","FCP_BUDA","FCP_SCSC","FMT_BOER","FMT_BOGR","FSA_SCSC","GMT_BOER","GMT_BOGR","GNF_BOGR","GNF_SCSC","HAR_ANGE","HAR_BOCU_E","HAR_BOGR","HAR_BOGR_E","HAR_BUDA","HAR_BUDA_E","HAR_SCSC","HAR_SCSC_E","HPG_BOGR","HPG_BUDA","KAE_ANGE","KAE_BUDA","KAE_SCSC","KNZ_ANGE","KNZ_ANGE_E","KNZ_BOCU_E","KNZ_BOGR","KNZ_BUDA","KNZ_SCSC","KNZ_SCSC_E","LAR_ANGE","LAR_BOGR","LAR_SCSC","LBJ_ANGE","LBJ_BUDA","LBJ_SCSC","NWP_ANGE","NWP_SCSC","ONF_ANGE","ONF_SCSC","RNF_BOGR","SCP_ANGE","SCP_BOGR","SCP_SCSC","SEV_BOER","SEV_BOER_E_A","SEV_BOER_E_B","SEV_BOGR","SEV_BOGR_E_A","SFA_SCSC","UHC_ANGE","UHC_SCSC"
"uncl_Lophiostomataceae","Lophiostomataceae","Pleosporales","Dothideomycetes","Ascomycota","Fungi",0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.001,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0
"Pseudoophiosphaerella","Phaeosphaeriaceae","Pleosporales","Dothideomycetes","Ascomycota","Fungi",0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.001,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tilletiopsis","Entylomataceae","Entylomatales","Exobasidiomycetes","Basidiomycota","Fungi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pluteus","Pluteaceae","Agaricales","Agaricomycetes","Basidiomycota","Fungi",0.015,0,0,0.056,0.004,0,0.008,0.019,0.001,0,0,0.002,0,0,0,0,0,0.02,0,0.001,0.102,0.008,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0.005,0.001,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.02,0,0,0,0.001,0.66,0.004,0.143,0.001,0,0.165,0.003,0,0.03,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.002
"uncl_Orbiliales","uncl_Orbiliales","Orbiliales","Orbiliomycetes","Ascomycota","Fungi",0.016,0.002,0,0.025,0.013,0.003,0.019,0.023,0.013,0.061,0.002,0.005,0,0.01,0.014,0.03,0.001,0.048,0.004,0,0.019,0,0.009,0.015,0.001,0.003,0.155,0.011,0.002,0.006,0.001,0,0.002,0.117,0,0.001,0.004,0,0.001,0.016,0,0,0,0,0.008,0.014,0,0.002,0.04,0,0.04,0.032,0.001,0,0.048,0.007,0.001,0,0,0.001,0.005,0.056,0.016,0.019,0.056,0.018,0.005,0,0,0.004,0.014,0.008,0.011,0.005,0.045,0.023,0.04,0.016,0.001,0,0,0.003,0.006,0,0.002,0.254,0.056,0,0.021,0.002,0,0.015,0,0.001,0,0.003,0,0,0,0.003,0.002
"uncl_Ambisporaceae","Ambisporaceae","Archaeosporales","Archaeosporomycetes","Glomeromycota","Fungi",0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acrospermum","Acrospermaceae","Acrospermales","Dothideomycetes","Ascomycota","Fungi",0.014,0,0,0,0,0,0,0,0.048,0,0,0,0,0,0.316,0,0,0.007,0,0,0.001,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.885,0,0.001,0,0,0,0.007,0,0,0,0,0,0,0.005,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0
"Neodevriesia","Neodevriesiaceae","Capnodiales","Dothideomycetes","Ascomycota","Fungi",0.004,0,0,0.001,0.016,0,0.001,0.003,0.009,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0.007,0.017,0.001,0.002,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.02,0.008,0,0.004,0.001,0.002,0,0,0,0,0.016,0.004,0.001,0,0,0.01,0,0.013,0.061,0.002,0,0.002,0,0,0.005,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0.001,0
"Rhizoctonia","Ceratobasidiaceae","Cantharellales","Agaricomycetes","Basidiomycota","Fungi",0,0,0,0,0.002,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fusidium","Xylariales_fam_Incertae_sedis","Xylariales","Sordariomycetes","Ascomycota","Fungi",0,0,0,0.002,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.001,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0.002,0.018,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cladosporium","Cladosporiaceae","Capnodiales","Dothideomycetes","Ascomycota","Fungi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anthracocystis","Ustilaginaceae","Ustilaginales","Ustilaginomycetes","Basidiomycota","Fungi",0,0,0,0.001,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.001,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0.004,0,0,0,0,0.002,0,0,0,0,0,0,0,0.001,0,0,0.001,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0
"uncl_Pleosporales_fam_Incertae_sedis","Pleosporales_fam_Incertae_sedis","Pleosporales","Dothideomycetes","Ascomycota","Fungi",0.001,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0.001,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.001,0,0,0,0,0,0.066,0,0,0,0.001,0,0,0,0,0,0.001,0.001,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001
"Catenulostroma","Teratosphaeriaceae","Mycosphaerellales","Dothideomycetes","Ascomycota","Fungi",0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"uncl_Clavicipitaceae","Clavicipitaceae","Hypocreales","Sordariomycetes","Ascomycota","Fungi",0.005,0,0,0.003,0.04,0,0.001,0.003,0.007,0,0,0.001,0,0,0.001,0.005,0,0,0,0,0.018,0.001,0.005,0,0.004,0.019,0.007,0.004,0,0,0,0,0,0.001,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0.002,0,0.01,0.002,0,0,0,0,0,0,0,0.012,0.05,0,0.001,0,0.001,0.041,0.005,0.002,0,0.006,0.007,0,0,0,0,0.001,0,0.002,0,0,0.022,0,0.003,0.002,0.054,0.009,0.005,0.007,0.001,0,0,0,0,0,0,0,0,0,0,0,0
"Langdonia","Ustilaginaceae","Ustilaginales","Ustilaginomycetes","Basidiomycota","Fungi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bovista","Lycoperdaceae","Agaricales","Agaricomycetes","Basidiomycota","Fungi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0
"uncl_Apiosporaceae","Apiosporaceae","Xylariales","Sordariomycetes","Ascomycota","Fungi",0.029,0,0,0.143,0.01,0,0.001,0.002,0.008,0,0,0,0,0,0.026,0.007,0,0,0,0,0.01,0,0.003,0.001,0.576,0.002,0,0.002,0,0,0,0.003,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074,0,0,0.017,0,0,0,0,0,0,0,0.029,0.012,0,0.001,0,0.012,0.013,0.015,0,0,0.002,0.007,0,0,0,0,0.008,0,0.001,0,1.376,0,0.017,0,0,0.007,0,0,0.004,0.001,0,0,0,0,0,0,0,0,0,0.003,0.007,0
"Nanoglomus","Glomeraceae","Glomerales","Glomeromycetes","Glomeromycota","Fungi",0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0.003,0.001,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0.002
"Microdochium","Amphisphaeriaceae","Xylariales","Sordariomycetes","Ascomycota","Fungi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fonsecazyma","Bulleraceae","Tremellales","Tremellomycetes","Basidiomycota","Fungi",0,0,0,0.001,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0.003,0,0,0,0.014,0,0,0,0,0,0,0.002,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"uncl_Mortierellaceae","Mortierellaceae","Mortierellales","Mortierellomycetes","Mortierellomycota","Fungi",0.008,0.011,0.002,0.017,0.001,0.005,0.002,0.007,0.009,0.001,0,0,0.001,0.001,0.002,0.001,0.007,0.048,0.003,0,0.001,0,0.018,0.002,0.004,0.026,0.053,0.02,0,0.099,0.008,0,0.005,0.001,0.001,0,0,0,0.001,0.001,0,0.001,0.004,0.001,0.001,0,0.002,0.005,0,0,0.001,0.002,0.002,0.016,0.048,0.002,0.004,0,0,0.005,0,0,0,0,0,0.006,0,0,0,0.001,0.044,0.003,0.002,0.002,0.002,0.003,0.005,0.002,0,0.006,0,0.003,0.026,0,0.053,0.078,0.029,0.023,0.017,0,0.455,0,0.02,0.013,0.019,0.006,0,0.002,0,0.004,0.006
"Cruentomycena","Tricholomataceae","Agaricales","Agaricomycetes","Basidiomycota","Fungi",0.025,0,0,0,0,0,0.126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Distoseptispora","Distoseptisporaceae","Distoseptisporales","Sordariomycetes","Ascomycota","Fungi",0,0,0,0,0,0,0,0,0.001,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"uncl_Pisorisporiales","uncl_Pisorisporiales","Pisorisporiales","Sordariomycetes","Ascomycota","Fungi",0.021,0,0,0.004,0.002,0,0,0.005,0.067,0,0,0.013,0,0,0,0,0,1.555,0,0,0.001,0,0,0.007,0,0.001,0,0,0,0,0,0.231,0.033,0,0,0,0,0,0.001,0.041,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,1.555,0,0,0,0,0,0.002,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.001,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231,0.052,0.015
"Tubeufia","Tubeufiaceae","Tubeufiales","Dothideomycetes","Ascomycota","Fungi",0.003,0,0,0,0.011,0,0,0.005,0.006,0,0.001,0.034,0,0,0,0.001,0,0,0,0,0.003,0,0,0,0.003,0,0,0,0,0,0,0,0.006,0,0,0.001,0,0,0,0.037,0.091,0,0,0,0,0,0,0,0,0,0.001,0.003,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011
"Scytalidium","Helotiaceae","Helotiales","Leotiomycetes","Ascomycota","Fungi",0.012,0,0,0,0,0,0,0,0.042,0,0,0,0,0.002,0,0,0,0.003,0,0,0,0,0,0,0,0,0.389,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lycoperdon","Lycoperdaceae","Agaricales","Agaricomycetes","Basidiomycota","Fungi",0.002,0,0,0,0,0.003,0,0.01,0.001,0,0,0,0,0.021,0,0,0,0.01,0,0,0,0,0.004,0.01,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0.001,0,0,0,0.031,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.002,0,0,0,0.001,0,0,0,0,0,0.013,0,0,0,0,0.08,0,0,0,0,0,0,0.001,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0
"Vararia","Lachnocladiaceae","Russulales","Agaricomycetes","Basidiomycota","Fungi",0.565,0.001,3.509,0,4.962,0.001,1.659,0.022,0.149,0,0,0,0.017,0.001,0.033,0,0,0,0,1.356,3.029,0,0,0.279,0,0,0,0.022,0,0.004,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.002,0.003,0,0.089,0,0,0,0,0,0,0,0,0.02,1.546,0,6.202,3.452,5.789,0.015,0.011,1.354,0,0,0,0,0,0,0,0.001,0,2.561,0.16,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0.01,0.001,0.001,0,1.038,4.079,0,0,0
"uncl_Hyponectriaceae","Hyponectriaceae","Xylariales","Sordariomycetes","Ascomycota","Fungi",0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.003,0.003,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corticifraga","Gomphillaceae","Ostropales","Lecanoromycetes","Ascomycota","Fungi",0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.001,0,0.002,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"uncl_Helotiaceae","Helotiaceae","Helotiales","Leotiomycetes","Ascomycota","Fungi",0,0,0,0.002,0.001,0,0,0.001,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0.006,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0.002,0.003,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Claroideoglomus","Claroideoglomeraceae","Glomerales","Glomeromycetes","Glomeromycota","Fungi",0.001,0,0,0.002,0,0.002,0.001,0,0.001,0,0,0,0,0.011,0,0.001,0,0,0.001,0,0,0,0.001,0.001,0.001,0,0.008,0,0.012,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0,0,0,0,0.004,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0.002,0.003,0.002,0.002,0.001,0.001,0.001,0,0.001,0,0.002,0,0,0,0.009,0.008,0.001,0,0.012,0.03,0,0,0,0,0,0,0,0,0,0
"uncl_Tremellomycetes","uncl_Tremellomycetes","uncl_Tremellomycetes","Tremellomycetes","Basidiomycota","Fungi",0.005,0.007,0.006,0,0,0.018,0.001,0,0.007,0.002,0,0,0.045,0.002,0.033,0,0.045,0,0,0.005,0,0,0,0,0,0,0,0,0.002,0,0.007,0,0,0.003,0,0,0,0,0,0,0,0,0,0.105,0.002,0.002,0.072,0,0.005,0,0,0,0.068,0.002,0,0,0.001,0,0.006,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0.003,0.026,0.002,0.003,0.006,0,0.001,0
"Lepiota","Agaricaceae","Agaricales","Agaricomycetes","Basidiomycota","Fungi",0,0,0,0,0,0,0.001,0.001,0,0,0,0,0,0,0.001,0,0.008,0,0,0,0.001,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0.004,0.001,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0
"uncl_Psathyrellaceae","Psathyrellaceae","Agaricales","Agaricomycetes","Basidiomycota","Fungi",0.344,0.057,0.004,0.276,3.142,0.02,0.038,0.116,0.52,0,0.001,1.137,0.174,0,0.04,0.465,0.001,0,0,1.444,0.707,0.007,0.031,0.897,0,0.022,0,0,0,0.002,0.041,0,0.024,0,0,0.002,0,2.913,0,0.361,0.909,0,0,0.405,0,0,0,0.185,0,0.37,0.362,0.62,0.001,0,0,0,0,0,1.651,0.004,3.161,0.005,0.051,0,0,0,0,0.015,0.004,0.003,0.081,0,0,0.012,3.062,0.092,0.002,3.993,0.776,0,0,0.001,0.002,0.061,0,0,0,0,0,0,0,0.005,0,0,0,0.105,0,0.005,0,0.018,0.031
"Leucoagaricus","Agaricaceae","Agaricales","Agaricomycetes","Basidiomycota","Fungi",0,0,0,0,0,0.001,0.001,0,0,0,0.005,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Auxarthron","Onygenaceae","Onygenales","Eurotiomycetes","Ascomycota","Fungi",0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Montagnea","Agaricaceae","Agaricales","Agaricomycetes","Basidiomycota","Fungi",0.009,0.164,0,0,0,0.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303,0,0,0,0,0
"Tulostoma","Agaricaceae","Agaricales","Agaricomycetes","Basidiomycota","Fungi",0.022,0.006,0.025,0,0,0.127,0.004,0,0.002,0.012,0,0,0.321,0,0.048,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0.025,0,0,0,0,0,0,0.812,0.012,0,0,0,0.101,0.008,0.009,0,0,0,0.278,0.002,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.001,0.007,0,0.031,0,0,0
"uncl_Mortierellales","uncl_Mortierellales","Mortierellales","Mortierellomycetes","Mortierellomycota","Fungi",0.024,0.336,0.096,0.002,0,0.119,0.022,0.001,0.001,0,0,0.001,0.001,0.011,0.002,0.001,0.006,0,0.043,0.004,0.001,0.001,0.005,0,0.004,0.002,0,0,0.007,0,0.264,0.003,0.002,0,0,0,0,0.001,0.006,0,0.001,0.003,0,0,0.005,0.022,0.005,0,0.001,0,0.001,0.003,0,0.016,0,0.002,0.092,0.03,0,0.004,0,0.005,0.001,0,0,0,0,0.005,0,0.013,0.002,0,0,0,0,0,0,0,0,0,0,0.01,0.003,0.003,0,0,0,0,0,0.007,0,0,0,1.02,0.355,0.021,0.007,0.117,0.003,0.004,0
"Paraphoma","Phaeosphaeriaceae","Pleosporales","Dothideomycetes","Ascomycota","Fungi",0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.007,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"uncl_Meruliaceae","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Fungi",0.003,0,0,0,0,0.016,0,0,0,0,0,0,0.059,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hyalorbilia","Orbiliaceae","Orbiliales","Orbiliomycetes","Ascomycota","Fungi",0.005,0,0,0,0,0.02,0,0,0.005,0.034,0,0,0.074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0.071,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0
"Monosporascus","Diatrypaceae","Xylariales","Sordariomycetes","Ascomycota","Fungi",0,0,0,0,0,0,0.001,0,0,0,0,0,0.002,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0.001,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wilcoxina","Pyronemataceae","Pezizales","Pezizomycetes","Ascomycota","Fungi",0.009,0,0,0,0,0,0,0,0.032,0,0,0,0.211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
