"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU112",62,52.086,46,59,"Generalists"
"OTU2916",46,24.496,20,29,"Generalists"
"OTU10919",6,8.722,6,11,"NS"
"OTU1616",27,17.842,14,22,"Generalists"
"OTU126",56,75.912,70,82,"Specialists"
"OTU379",59,48.126,42,55,"Generalists"
"OTU63",57,32.618,27,39,"Generalists"
"OTU2696",8,8.404,6,11,"NS"
"OTU2769",13,11.284,8,14.525,"NS"
"OTU44620",23,15.584,12,19,"Generalists"
"OTU1445",22,15.78,12,20,"Generalists"
"OTU1659",54,32.69,27,39,"Generalists"
"OTU6055",11,10.322,7,13,"NS"
"OTU4380",14,15.216,12,19,"NS"
"OTU2132",21,13.958,10,18,"Generalists"
"OTU45281",4,3.47,2,4,"NS"
"OTU2044",11,7.992,6,10,"Generalists"
"OTU25570",55,39.092,33,45,"Generalists"
"OTU1200",13,14.07,11,18,"NS"
"OTU10070",3,5.432,4,7,"Specialists"
"OTU1975",5,4.794,3,6,"NS"
"OTU145",90,70.148,64,77,"Generalists"
"OTU1663",5,5.358,4,7,"NS"
"OTU725",23,22.428,18,27.525,"NS"
"OTU1319",8,14.822,11,19,"Specialists"
"OTU18",65,93.666,91,95,"Specialists"
"OTU429",73,40.258,34,47,"Generalists"
"OTU144",79,64.66,58,72,"Generalists"
"OTU361",38,35.268,29,41,"NS"
"OTU21464",3,2.672,2,3,"NS"
"OTU10508",4,3.476,2,4,"NS"
"OTU1649",21,18.39,14,23,"NS"
"OTU24738",2,1.892,1,2,"NS"
"OTU20150",3,2.704,2,3,"NS"
"OTU3328",48,27.866,23,33,"Generalists"
"OTU5452",3,2.728,2,3,"NS"
"OTU45500",10,11.98,9,15,"NS"
"OTU6077",24,16.07,12,20,"Generalists"
"OTU2259",6,14.942,11,19,"Specialists"
"OTU240",59,75.324,68.475,81,"Specialists"
"OTU246",48,45.252,39,52,"NS"
"OTU621",43,35.43,30,42,"Generalists"
"OTU96808",17,14.682,11,19,"NS"
"OTU1798",44,30.27,25,36,"Generalists"
"OTU397",42,36.17,30,43,"NS"
"OTU267",48,45.734,39,52.525,"NS"
"OTU1188",46,33.958,28,40,"Generalists"
"OTU2292",5,7.618,5,10,"NS"
"OTU8655",6,7.506,5,10,"NS"
"OTU1433",13,11.758,9,15,"NS"
"OTU83546",24,16.636,13,21,"Generalists"
"OTU8861",31,43.988,38,51,"Specialists"
"OTU80511",20,14.696,11,19,"Generalists"
"OTU1357",17,12.5,9,16,"Generalists"
