OTU,observed,mean.simulated,lowCI,uppCI,Sign
OTU1202,234,161.04,148,173.05,Generalists
OTU152,161,227.03,210.475,246.05,Specialists
OTU6375,43,56.2,48,63,Specialists
OTU987,154,94.57,84.475,104.525,Generalists
OTU22063,63,42.93,37.475,48,Generalists
OTU16169,3,2.9,2,3,NS
OTU5134,34,29.05,24.475,34,NS
OTU20541,67,59.53,53,66.525,Generalists
OTU5489,35,37.66,32.475,43,NS
OTU99,190,423.22,410,435.525,Specialists
OTU18779,16,14.07,12,16,NS
OTU8087,46,47.6,41,54,NS
OTU5323,11,16.31,14,18.525,Specialists
OTU48692,17,19.77,16.475,23,NS
OTU25,319,424.47,409.95,435,Specialists
OTU3421,10,25.97,21,30,Specialists
OTU1374,35,61.03,54.475,68,Specialists
OTU7781,9,9.58,7.475,11,NS
OTU84209,3,2.92,2,3,NS
OTU1992,53,48.86,42.475,54,NS
OTU828,142,108.01,97.475,118.525,Generalists
OTU45489,17,18.82,16,22,NS
OTU1331,163,105.72,95.95,116,Generalists
OTU510,201,156.01,144.475,166.525,Generalists
OTU3820,416,212.47,199.95,226.525,Generalists
OTU742,146,135.38,126,146,NS
OTU35867,10,9.8,8,11,NS
OTU31973,28,22.31,18.475,26,Generalists
OTU5312,42,30.83,27,35.525,Generalists
OTU7189,28,23.82,19.475,27.525,Generalists
OTU353,159,139.43,125.475,152.525,Generalists
OTU46445,3,3.86,3,4,NS
OTU1819,275,161.99,150.95,175,Generalists
OTU9654,10,13.41,11,16,Specialists
OTU17497,33,34.33,29,39.525,NS
OTU197,305,205.92,194,221.05,Generalists
OTU13885,34,32.82,28,38,NS
OTU5096,21,32.45,27.475,36.525,Specialists
OTU21588,50,55.07,48,61,NS
OTU13441,8,8.98,7,10,NS
OTU3658,113,70.65,63,79.525,Generalists
OTU22034,12,10.54,8,12,NS
OTU17173,14,13.09,10.475,15,NS
OTU176,317,269.17,255.475,283.05,Generalists
OTU1398,112,104.75,96,114.525,NS
OTU4477,17,20.15,17,23.525,NS
OTU22032,5,4.76,4,5,NS
OTU2933,26,44.79,38.475,51,Specialists
OTU238,48,187.22,172.475,200,Specialists
OTU7851,6,6.45,5,7,NS
OTU12496,87,81.16,72.95,89.525,NS
OTU8630,11,11.34,9,13,NS
OTU9084,12,13.29,10,16,NS
OTU441,101,113.2,102,123.525,Specialists
OTU7077,173,100.03,90.475,111,Generalists
OTU2172,84,78.71,70,88.525,NS
OTU5211,153,99.05,87.475,109.525,Generalists
OTU5490,6,10.65,9,12,Specialists
OTU708,116,100.86,91.475,109,Generalists
OTU51305,2,2.92,2,3,NS
