"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU192",30,8.23,4.475,12,"Generalists"
"OTU692",8,46.43,38,55.05,"Specialists"
"OTU495",39,51.57,41.475,62,"Specialists"
"OTU1715",6,3.15,1,5,"Generalists"
"OTU1348",17,24.43,18,31.525,"Specialists"
"OTU5893",50,18.39,13.475,24,"Generalists"
"OTU2025",15,12.29,8.475,16.525,"NS"
"OTU2759",26,15.15,10.475,20.525,"Generalists"
"OTU419",3,3.4,2,6,"NS"
"OTU7554",84,11.71,7,16,"Generalists"
"OTU1880",4,19.98,15,26,"Specialists"
"OTU10034",23,38.31,31.475,47.05,"Specialists"
"OTU4",54,10.36,6,14.525,"Generalists"
"OTU620",43,34.96,29,43,"NS"
"OTU10699",4,2.4,1,4,"NS"
"OTU10184",5,34.05,27.475,41.05,"Specialists"
"OTU3856",10,13.5,9.475,18,"NS"
"OTU8080",82,16.42,12,21.525,"Generalists"
"OTU5316",13,7.25,4,10,"Generalists"
"OTU5174",2,3.88,1.475,6,"NS"
"OTU8895",11,4.6,2,7,"Generalists"
"OTU6",184,19.56,15,24,"Generalists"
"OTU7274",151,31.09,24.475,38,"Generalists"
"OTU4021",6,4.48,2.475,7,"NS"
"OTU10659",8,5.62,3,8,"NS"
"OTU2235",11,5.63,3,9,"Generalists"
"OTU478",9,39.3,31.475,49.05,"Specialists"
"OTU3017",2,11.45,7,16.525,"Specialists"
"OTU846",3,27.38,20.95,33.525,"Specialists"
"OTU3362",3,8.61,5,13,"Specialists"
"OTU1533",1,26.22,20.475,33.05,"Specialists"
"OTU516",19,43.69,37,51.525,"Specialists"
"OTU5715",2,3.61,2,5,"NS"
"OTU6498",5,6.78,4,10,"NS"
"OTU339",33,57.74,49,66,"Specialists"
"OTU1940",5,14.05,10,19,"Specialists"
"OTU4341",1,3.89,2,6,"Specialists"
"OTU2554",9,15.68,11,20,"Specialists"
"OTU1852",30,23.85,16.95,30,"NS"
"OTU7501",16,13.18,8,18.525,"NS"
"OTU7663",1,2.36,1,3.52499999999999,"NS"
"OTU8200",5,5.12,3,8,"NS"
"OTU518",3,31.47,25.475,37.525,"Specialists"
"OTU997",7,20.81,16,27,"Specialists"
"OTU4041",4,4.63,3,7,"NS"
"OTU697",24,41.88,34,48.525,"Specialists"
"OTU4650",9,13.66,9,18,"NS"
"OTU1953",15,17.6,10.475,26,"NS"
"OTU347",31,80.84,70.475,89.525,"Specialists"
"OTU4027",3,7.17,4,10,"Specialists"
"OTU7115",3,18.15,14,23.525,"Specialists"
"OTU920",1,3.3,2,5,"Specialists"
"OTU633",14,42.11,34.475,49,"Specialists"
"OTU4174",9,6.15,3,9.52499999999999,"NS"
"OTU6119",15,21.49,16.475,27.525,"Specialists"
"OTU967",4,38.75,32,46,"Specialists"
