"","OTU","Domain","Phylum","Class","Order","Family","Genus","Species","global_occurrence","BOER_SEVonly","BOGR_SEVonly","ANGE_allsites","BOCU_allsites","BOER_allsites","BOGR_allsites","BUDA_allsites","SCSC_allsites","BLM","BNP","CAD","CNF","CPR","DMT","FCP","FMT","FSA","GMT","GNF","HAR","HPG","KAE","KNZ","LAR","LBJ","NWP","ONF","RNF","SCP","SEV","UHC","SFA"
"1604","OTU10236","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.0259938837920489,NA,NA,0,0,0.132075471698113,0.00769230769230769,0.0111111111111111,0.00540540540540541,0,0,0.025,0,0,0.285714285714286,0,0.294117647058824,0,0.0454545454545455,0,0.010989010989011,0,0,0,0,0,0,0.0454545454545455,0,0,0,0,0
"1821","OTU2263","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.0229357798165138,0.135135135135135,0,0,0,0.10377358490566,0.0307692307692308,0,0,0,0.0588235294117647,0,0.0357142857142857,0,0.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0943396226415094,0,0
"1848","OTU2704","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.0152905198776758,0.0810810810810811,0,0,0,0.0566037735849057,0.0230769230769231,0.0111111111111111,0,0,0.0588235294117647,0.025,0,0,0.178571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0566037735849057,0,0
"1875","OTU2673","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.00764525993883792,0,0.0625,0,0,0,0.0153846153846154,0.0222222222222222,0.00540540540540541,0,0.0588235294117647,0,0,0,0,0.0714285714285714,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0.0188679245283019,0,0
"1882","OTU954","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.0198776758409786,NA,NA,0.0508474576271186,0,0.00943396226415094,0,0.0111111111111111,0.027027027027027,0,0,0.1,0,0,0,0,0,0.285714285714286,0.0454545454545455,0,0.010989010989011,0,0.03125,0.0224719101123595,0,0.0294117647058824,0.05,0,0,0,0,0,0
"1900","OTU1089","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.00305810397553517,NA,NA,0.0169491525423729,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1924","OTU9392","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.00458715596330275,NA,NA,0,0,0.0283018867924528,0,0,0,0,0,0,0,0,0,0,0.176470588235294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2001","OTU7249","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariales_fam_Incertae_sedis","Xenoanthostomella","uncl_Xenoanthostomella",0.00458715596330275,NA,NA,0.00847457627118644,0,0,0,0,0.0108108108108108,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0
"2102","OTU6533","Fungi","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae","uncl_Diatrypaceae","uncl_Diatrypaceae",0.00764525993883792,NA,NA,0,0,0.00943396226415094,0.00769230769230769,0.0222222222222222,0.00540540540540541,0,0,0.075,0,0,0.0357142857142857,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2413","OTU10347","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.00917431192660551,0,0.0625,0,0,0,0.0307692307692308,0.0222222222222222,0,0,0,0.025,0.0357142857142857,0,0,0,0,0,0,0,0,0.133333333333333,0.03125,0,0,0,0,0,0,0,0.0188679245283019,0,0
