"","Taxa","Occurrence","Domain","Phylum","Class","Order","Family","Genus","Species"
"OTU2763","OTU2763",0.0326086956521739,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Stephanosporaceae","Cristinia",NA
"OTU2340","OTU2340",0.0869565217391304,"Fungi","Ascomycota","Pezizomycotina_cls_Incertae_sedis","uncl_Pezizomycotina_cls_Incertae_sedis","uncl_Pezizomycotina_cls_Incertae_sedis","uncl_Pezizomycotina_cls_Incertae_sedis",NA
"OTU7643","OTU7643",0.119565217391304,"Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","uncl_Saccotheciaceae",NA
"OTU667","OTU667",0.0869565217391304,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","uncl_Bolbitiaceae",NA
"OTU296","OTU296",0.0217391304347826,"Fungi","Ascomycota","Dothideomycetes","Tubeufiales","Tubeufiaceae","uncl_Tubeufiaceae",NA
"OTU1705","OTU1705",0.108695652173913,"Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Serendipitaceae","uncl_Serendipitaceae",NA
"OTU529","OTU529",0.0434782608695652,"Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","uncl_Hymenochaetales","uncl_Hymenochaetales",NA
"OTU1313","OTU1313",0.0217391304347826,"Fungi","Basidiomycota","Agaricomycetes","Geastrales","Sphaerobolaceae","uncl_Sphaerobolaceae",NA
"OTU803","OTU803",0.0108695652173913,"Fungi","Basidiomycota","Agaricomycetes","Corticiales","Corticiaceae","uncl_Corticiaceae",NA
"OTU379","OTU379",0.891304347826087,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","uncl_Hypocreales","uncl_Hypocreales",NA
"OTU7652","OTU7652",0.0108695652173913,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae","Lecanicillium",NA
"OTU4503","OTU4503",0.0652173913043478,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Bisifusarium",NA
"OTU400","OTU400",0.0434782608695652,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Phoma",NA
"OTU438","OTU438",0.0108695652173913,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","uncl_Didymellaceae",NA
"OTU1019","OTU1019",0.967391304347826,"Fungi","Ascomycota","Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes",NA
"OTU3554","OTU3554",0.0434782608695652,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Metacordyceps",NA
"OTU2178","OTU2178",0.0760869565217391,"Fungi","Ascomycota","Sordariomycetes","Coniochaetales","uncl_Coniochaetales","uncl_Coniochaetales",NA
"OTU2893","OTU2893",0.0326086956521739,"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","uncl_Thelephoraceae",NA
"OTU418","OTU418",0.304347826086957,"Fungi","Ascomycota","Sordariomycetes","Magnaporthales","uncl_Magnaporthales","uncl_Magnaporthales",NA
"OTU2294","OTU2294",0.0108695652173913,"Fungi","Basidiomycota","Agaricomycetes","Polyporales","Steccherinaceae","uncl_Steccherinaceae",NA
"OTU1868","OTU1868",0.0326086956521739,"Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Serendipitaceae","Serendipita",NA
"OTU295","OTU295",0.782608695652174,"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","uncl_Chaetothyriales","uncl_Chaetothyriales",NA
"OTU2394","OTU2394",0.760869565217391,"Fungi","Mucoromycota","uncl_Mucoromycota","uncl_Mucoromycota","uncl_Mucoromycota","uncl_Mucoromycota",NA
"OTU1184","OTU1184",0.0326086956521739,"Fungi","Basidiomycota","Agaricomycetes","Geastrales","Geastraceae","Nidulariopsis",NA
"OTU11073","OTU11073",0.0108695652173913,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","uncl_Cucurbitariaceae",NA
"OTU2773","OTU2773",0.130434782608696,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Pyrenochaeta",NA
"OTU1075","OTU1075",0.0434782608695652,"Fungi","Ascomycota","Sordariomycetes","Atractosporales","Conlariaceae","Conlarium",NA
"OTU8689","OTU8689",0.173913043478261,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Dominikia",NA
"OTU12384","OTU12384",0.0434782608695652,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Funneliformis",NA
"OTU646","OTU646",0.0108695652173913,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Rhizopogonaceae","uncl_Rhizopogonaceae",NA
"OTU1205","OTU1205",0.130434782608696,"Fungi","Chytridiomycota","uncl_Chytridiomycota","uncl_Chytridiomycota","uncl_Chytridiomycota","uncl_Chytridiomycota",NA
"OTU3823","OTU3823",0.0217391304347826,"Fungi","Basidiomycota","GS27","GS27_ord_Incertae_sedis","uncl_GS27_ord_Incertae_sedis","uncl_GS27_ord_Incertae_sedis",NA
"OTU9701","OTU9701",0.0108695652173913,"Fungi","Basidiomycota","GS27","uncl_GS27","uncl_GS27","uncl_GS27",NA
"OTU4599","OTU4599",0.0326086956521739,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","uncl_Entolomataceae",NA
"OTU1962","OTU1962",0.0108695652173913,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cyphellaceae","uncl_Cyphellaceae",NA
"OTU2461","OTU2461",0.0869565217391304,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizoglomus",NA
"OTU436","OTU436",0.358695652173913,"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","uncl_Herpotrichiellaceae",NA
"OTU3565","OTU3565",0.0108695652173913,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae","Beauveria",NA
"OTU4529","OTU4529",0.673913043478261,"Fungi","Mucoromycota","Glomeromycetes","uncl_Glomeromycetes","uncl_Glomeromycetes","uncl_Glomeromycetes",NA
"OTU8171","OTU8171",0.0217391304347826,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae","Alfaria",NA
"OTU1272","OTU1272",0.0760869565217391,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","uncl_Psathyrellaceae",NA
"OTU2504","OTU2504",0.152173913043478,"Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Orbilia",NA
"OTU4361","OTU4361",0.0108695652173913,"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Toxicocladosporium",NA
"OTU949","OTU949",0.0108695652173913,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Scutellinia",NA
"OTU1414","OTU1414",0.0760869565217391,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","uncl_Pezizaceae",NA
"OTU1005","OTU1005",0.0760869565217391,"Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Macrophomina",NA
"OTU909","OTU909",0.119565217391304,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Psathyrella",NA
"OTU741","OTU741",0.0108695652173913,"Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Oliveoniaceae","uncl_Oliveoniaceae",NA
"OTU3114","OTU3114",0.0326086956521739,"Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Arthrobotrys",NA
"OTU4077","OTU4077",0.0217391304347826,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Neosetophoma",NA
"OTU1988","OTU1988",0.0108695652173913,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_fam_Incertae_sedis","Astrosphaeriella",NA
"OTU6054","OTU6054",0.0108695652173913,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","uncl_Hypocreales_fam_Incertae_sedis",NA
"OTU1806","OTU1806",0.0434782608695652,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Pluteaceae","Pluteus",NA
"OTU951","OTU951",0.0326086956521739,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Thyridariaceae","Massariosphaeria",NA
"OTU1873","OTU1873",0.0326086956521739,"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Cyphellophoraceae","Cyphellophora",NA
"OTU312","OTU312",0.293478260869565,"Fungi","Basidiomycota","Agaricomycetes","Auriculariales","uncl_Auriculariales","uncl_Auriculariales",NA
"OTU2709","OTU2709",0.0108695652173913,"Fungi","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae","uncl_Ustilaginaceae",NA
"OTU6555","OTU6555",0.0217391304347826,"Fungi","Basidiomycota","Agaricomycetes","Russulales","uncl_Russulales","uncl_Russulales",NA
"OTU12552","OTU12552",0.0108695652173913,"Fungi","Chytridiomycota","GS14","uncl_GS14","uncl_GS14","uncl_GS14",NA
"OTU6493","OTU6493",0.0434782608695652,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Ophiosphaerella",NA
"OTU1814","OTU1814",0.0326086956521739,"Fungi","Ascomycota","Geoglossomycetes","Geoglossales","Geoglossaceae","Trichoglossum",NA
"OTU883","OTU883",0.0108695652173913,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Amniculicolaceae","uncl_Amniculicolaceae",NA
"OTU7338","OTU7338",0.0217391304347826,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Crepidotaceae","Crepidotus",NA
"OTU3964","OTU3964",0.0108695652173913,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Podosporaceae","Cladorrhinum",NA
"OTU7223","OTU7223",0.0217391304347826,"Fungi","Chytridiomycota","Rhizophydiomycetes","Rhizophydiales","uncl_Rhizophydiales","uncl_Rhizophydiales",NA
"OTU857","OTU857",0.0108695652173913,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Mycenella",NA
"OTU6703","OTU6703",0.0108695652173913,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","uncl_Lentitheciaceae",NA
"OTU4707","OTU4707",0.0108695652173913,"Fungi","Basidiomycota","Geminibasidiomycetes","Geminibasidiales","Geminibasidiaceae","Basidioascus",NA
"OTU5698","OTU5698",0.0108695652173913,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Podosporaceae","uncl_Podosporaceae",NA
"OTU5829","OTU5829",0.0108695652173913,"Fungi","Basidiomycota","Agaricomycetes","Polyporales","Phanerochaetaceae","Hyphodermella",NA
"OTU494","OTU494",0.0108695652173913,"Fungi","Ascomycota","Dothideomycetes","Acrospermales","Acrospermaceae","Acrospermum",NA
"OTU2727","OTU2727",0.0434782608695652,"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Neodevriesiaceae","Neodevriesia",NA
"OTU5597","OTU5597",0.0108695652173913,"Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariales_fam_Incertae_sedis","Fusidium",NA
"OTU2345","OTU2345",0.0326086956521739,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","uncl_Clavicipitaceae",NA
"OTU1359","OTU1359",0.0108695652173913,"Fungi","Basidiomycota","Agaricomycetes","Phallales","Phallaceae","Phallus",NA
"OTU12359","OTU12359",0.0108695652173913,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Lycoperdaceae","Bovista",NA
"OTU1265","OTU1265",0.0217391304347826,"Fungi","Ascomycota","Sordariomycetes","Xylariales","Apiosporaceae","uncl_Apiosporaceae",NA
"OTU10992","OTU10992",0.0108695652173913,"Fungi","Ascomycota","Sordariomycetes","Xylariales","Amphisphaeriaceae","Microdochium",NA
"OTU4345","OTU4345",0.0217391304347826,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleraceae","Fonsecazyma",NA
"OTU1743","OTU1743",0.0108695652173913,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Cruentomycena",NA
"OTU197","OTU197",0.0652173913043478,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Lachnocladiaceae","Vararia",NA
"OTU8253","OTU8253",0.0108695652173913,"Fungi","Zoopagomycota","Ramicandelaberomycetes","Ramicandelaberales","Ramicandelaberaceae","Ramicandelaber",NA
"OTU3702","OTU3702",0.0108695652173913,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Lycoperdaceae","Lycoperdon",NA
"OTU3718","OTU3718",0.0760869565217391,"Fungi","Mucoromycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella",NA
"OTU3610","OTU3610",0.141304347826087,"Fungi","Mucoromycota","Mortierellomycetes","Mortierellales","uncl_Mortierellales","uncl_Mortierellales",NA
"OTU5628","OTU5628",0.0108695652173913,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Lepiota",NA
"OTU12838","OTU12838",0.0108695652173913,"Fungi","Basidiomycota","Exobasidiomycetes","Microstromatales","uncl_Microstromatales","uncl_Microstromatales",NA
"OTU7629","OTU7629",0.0108695652173913,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Leucoagaricus",NA
"OTU4700","OTU4700",0.0760869565217391,"Fungi","Ascomycota","Sordariomycetes","Branch06","uncl_Branch06","uncl_Branch06",NA
"OTU9908","OTU9908",0.0434782608695652,"Fungi","Basidiomycota","Agaricomycetes","Trechisporales","uncl_Trechisporales","uncl_Trechisporales",NA
"OTU5686","OTU5686",0.0217391304347826,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Paraphoma",NA
"OTU8515","OTU8515",0.0217391304347826,"Fungi","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae","Monosporascus",NA
"OTU6103","OTU6103",0.0434782608695652,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Tulostoma",NA
"OTU3882","OTU3882",0.16304347826087,"Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","uncl_Orbiliaceae",NA
"OTU12601","OTU12601",0.0543478260869565,"Fungi","Basidiomycota","Cystobasidiomycetes","Cystobasidiales","Cystobasidiaceae","Cystobasidium",NA
"OTU374","OTU374",0.293478260869565,"Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Xylaria",NA
"OTU2687","OTU2687",0.0326086956521739,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Pulvinula",NA
"OTU1519","OTU1519",0.282608695652174,"Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","uncl_Xylariaceae",NA
"OTU7426","OTU7426",0.0326086956521739,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Claroideoglomeraceae","Claroideoglomus",NA
"OTU4358","OTU4358",0.0108695652173913,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Chlorophyllum",NA
"OTU1566","OTU1566",0.108695652173913,"Fungi","Basidiomycota","Agaricomycetes","Geastrales","Geastraceae","Geastrum",NA
"OTU2583","OTU2583",0.0217391304347826,"Fungi","Basidiomycota","Agaricostilbomycetes","Agaricostilbales","uncl_Agaricostilbales","uncl_Agaricostilbales",NA
"OTU3341","OTU3341",0.0869565217391304,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Podosporaceae","Podospora",NA
"OTU7012","OTU7012",0.0108695652173913,"Fungi","Mucoromycota","Glomeromycetes","Entrophosporales","uncl_Entrophosporales","uncl_Entrophosporales",NA
"OTU3861","OTU3861",0.0652173913043478,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Ascobolaceae","Ascobolus",NA
"OTU4212","OTU4212",0.0108695652173913,"Fungi","Basidiomycota","Microbotryomycetes","Leucosporidiales","Leucosporidiaceae","Leucosporidium",NA
"OTU1913","OTU1913",0.0434782608695652,"Fungi","Ascomycota","Dothideomycetes","Venturiales","Venturiaceae","uncl_Venturiaceae",NA
"OTU6303","OTU6303",0.0108695652173913,"Fungi","Ascomycota","Dothideomycetes","Venturiales","Sympoventuriaceae","uncl_Sympoventuriaceae",NA
"OTU8117","OTU8117",0.0108695652173913,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Coniophoraceae","Coniophora",NA
"OTU4161","OTU4161",0.0434782608695652,"Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Lectera",NA
"OTU2983","OTU2983",0.173913043478261,"Fungi","Ascomycota","Pezizomycetes","uncl_Pezizomycetes","uncl_Pezizomycetes","uncl_Pezizomycetes",NA
"OTU1650","OTU1650",0.0108695652173913,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Astraeaceae","Astraeus",NA
"OTU1028","OTU1028",0.0543478260869565,"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Capnodiaceae","uncl_Capnodiaceae",NA
"OTU1753","OTU1753",0.0108695652173913,"Fungi","Ascomycota","Sordariomycetes","Myrmecridiales","Myrmecridiales_fam_Incertae_sedis","Atractospora",NA
"OTU250","OTU250",0.0326086956521739,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Nidulariaceae","Cyathus",NA
"OTU6391","OTU6391",0.0217391304347826,"Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Rhodosporidiobolus",NA
"OTU581","OTU581",0.0652173913043478,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Hemimycena",NA
"OTU8449","OTU8449",0.0217391304347826,"Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma",NA
"OTU4762","OTU4762",0.0326086956521739,"Fungi","Ascomycota","Dothideomycetes","Mytilinidiales","Mytilinidiaceae","Mytilinidion",NA
"OTU9325","OTU9325",0.0760869565217391,"Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales","uncl_Spizellomycetales","uncl_Spizellomycetales",NA
"OTU4195","OTU4195",0.0543478260869565,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Strophariaceae","Stropharia",NA
"OTU4966","OTU4966",0.0434782608695652,"Fungi","Chytridiomycota","Cladochytriomycetes","Cladochytriales","uncl_Cladochytriales","uncl_Cladochytriales",NA
"OTU1991","OTU1991",0.391304347826087,"Fungi","Basidiomycota","Agaricomycetes","Sebacinales","uncl_Sebacinales","uncl_Sebacinales",NA
"OTU1169","OTU1169",0.0434782608695652,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Exserohilum",NA
"OTU413","OTU413",0.0434782608695652,"Fungi","Ascomycota","Sordariomycetes","Microascales","Halosphaeriaceae","uncl_Halosphaeriaceae",NA
"OTU3573","OTU3573",0.0217391304347826,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Rhynchogastremataceae","Papiliotrema",NA
"OTU6508","OTU6508",0.130434782608696,"Fungi","Mucoromycota","Mortierellomycetes","Mortierellales","Mortierellaceae","uncl_Mortierellaceae",NA
"OTU12747","OTU12747",0.0108695652173913,"Fungi","Basidiomycota","Agaricostilbomycetes","Agaricostilbales","Kondoaceae","uncl_Kondoaceae",NA
"OTU12596","OTU12596",0.0108695652173913,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Melanommataceae","Pseudostrickeria",NA
"OTU1812","OTU1812",0.0652173913043478,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","uncl_Agaricaceae",NA
"OTU8207","OTU8207",0.0108695652173913,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Tricharina",NA
"OTU7708","OTU7708",0.0217391304347826,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Agaricus",NA
"OTU2254","OTU2254",0.0108695652173913,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_fam_Incertae_sedis","Polyschema",NA
"OTU10561","OTU10561",0.0217391304347826,"Fungi","Calcarisporiellomycota","Calcarisporiellomycetes","Calcarisporiellales","Calcarisporiellaceae","Calcarisporiella",NA
"OTU461","OTU461",0.0217391304347826,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Flagelloscypha",NA
"OTU6630","OTU6630",0.0217391304347826,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Clavariaceae","Clavaria",NA
"OTU9820","OTU9820",0.0108695652173913,"Fungi","Ascomycota","Geoglossomycetes","Geoglossales","uncl_Geoglossales","uncl_Geoglossales",NA
"OTU2091","OTU2091",0.0652173913043478,"Fungi","Ascomycota","Sordariomycetes","Sordariomycetes_ord_Incertae_sedis","uncl_Sordariomycetes_ord_Incertae_sedis","uncl_Sordariomycetes_ord_Incertae_sedis",NA
"OTU6248","OTU6248",0.0108695652173913,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Pluteaceae","uncl_Pluteaceae",NA
"OTU6273","OTU6273",0.0434782608695652,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Tuber",NA
"OTU7587","OTU7587",0.0108695652173913,"Fungi","Cryptomycota","uncl_Cryptomycota","uncl_Cryptomycota","uncl_Cryptomycota","uncl_Cryptomycota",NA
"OTU2778","OTU2778",0.260869565217391,"Fungi","Basidiomycota","Agaricomycetes","Polyporales","uncl_Polyporales","uncl_Polyporales",NA
"OTU3367","OTU3367",0.0108695652173913,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Sclerodermataceae","Scleroderma",NA
"OTU2900","OTU2900",0.0217391304347826,"Fungi","Basidiomycota","Agaricomycetes","Corticiales","Corticiaceae","Waitea",NA
"OTU7486","OTU7486",0.0108695652173913,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Cantharellales_fam_Incertae_sedis","uncl_Cantharellales_fam_Incertae_sedis",NA
"OTU8883","OTU8883",0.0108695652173913,"Fungi","Mucoromycota","Mucoromycetes","Mucorales","Cunninghamellaceae","Absidia",NA
"OTU11369","OTU11369",0.0108695652173913,"Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Pucciniaceae","Puccinia",NA
"OTU5987","OTU5987",0.0108695652173913,"Fungi","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae","Ustilago",NA
"OTU1560","OTU1560",0.0652173913043478,"Fungi","Basidiomycota","Agaricomycetes","Corticiales","uncl_Corticiales","uncl_Corticiales",NA
"OTU10316","OTU10316",0.0108695652173913,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Cystoagaricus",NA
"OTU5318","OTU5318",0.0108695652173913,"Fungi","Chytridiomycota","Cladochytriomycetes","Cladochytriales","Cladochytriales_fam_Incertae_sedis","uncl_Cladochytriales_fam_Incertae_sedis",NA
"OTU429","OTU429",0.0326086956521739,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Stephanosporaceae","uncl_Stephanosporaceae",NA
"OTU12174","OTU12174",0.0108695652173913,"Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales","Spizellomycetaceae","uncl_Spizellomycetaceae",NA
"OTU7582","OTU7582",0.0108695652173913,"Fungi","Ascomycota","Dothideomycetes","Tubeufiales","Tubeufiaceae","Helicoma",NA
"OTU2166","OTU2166",0.576086956521739,"Fungi","Ascomycota","Leotiomycetes","Helotiales","uncl_Helotiales","uncl_Helotiales",NA
"OTU290","OTU290",0.141304347826087,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","Conocybe",NA
"OTU3140","OTU3140",0.0326086956521739,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Tetraplosphaeriaceae","Tetraploa",NA
"OTU2195","OTU2195",0.0543478260869565,"Fungi","Ascomycota","Dothideomycetes","Minutisphaerales","Minutisphaeraceae","Minutisphaera",NA
"OTU3606","OTU3606",0.0434782608695652,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","uncl_Tricholomataceae",NA
"OTU7807","OTU7807",0.0108695652173913,"Fungi","Olpidiomycota","Olpidiomycetes","uncl_Olpidiomycetes","uncl_Olpidiomycetes","uncl_Olpidiomycetes",NA
"OTU5920","OTU5920",0.0108695652173913,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Bombardiaceae","Ramophialophora",NA
"OTU10542","OTU10542",0.0108695652173913,"Fungi","Basidiomycota","Ustilaginomycetes","Urocystidales","Urocystidaceae","Urocystis",NA
"OTU5300","OTU5300",0.0108695652173913,"Fungi","Entorrhizomycota","Entorrhizomycetes","Entorrhizales","Entorrhizaceae","Entorrhiza",NA
"OTU6438","OTU6438",0.0108695652173913,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Dioszegia",NA
"OTU3209","OTU3209",0.0108695652173913,"Fungi","Ascomycota","Sordariomycetes","Sordariomycetes_ord_Incertae_sedis","Papulosaceae","Wongia",NA
"OTU5361","OTU5361",0.0108695652173913,"Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Extremaceae","Extremopsis",NA
"OTU2732","OTU2732",0.0434782608695652,"Fungi","Ascomycota","Geoglossomycetes","Geoglossales","Geoglossaceae","Geoglossum",NA
"OTU5911","OTU5911",0.0217391304347826,"Fungi","Ascomycota","Sordariomycetes","Xylariales","Amphisphaeriaceae","uncl_Amphisphaeriaceae",NA
"OTU754","OTU754",0.0326086956521739,"Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","uncl_Sebacinaceae",NA
"OTU6787","OTU6787",0.0108695652173913,"Fungi","Ascomycota","Eurotiomycetes","Eurotiomycetes_ord_Incertae_sedis","uncl_Eurotiomycetes_ord_Incertae_sedis","uncl_Eurotiomycetes_ord_Incertae_sedis",NA
"OTU8048","OTU8048",0.0108695652173913,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Cryptococcaceae","uncl_Cryptococcaceae",NA
"OTU8380","OTU8380",0.0108695652173913,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Peniophoraceae","uncl_Peniophoraceae",NA
"OTU3777","OTU3777",0.0108695652173913,"Fungi","Ascomycota","Archaeorhizomycetes","Archaeorhizomycetales","Archaeorhizomycetaceae","Archaeorhizomyces",NA
"OTU9528","OTU9528",0.0108695652173913,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Strophariaceae","Tubaria",NA
"OTU5577","OTU5577",0.0108695652173913,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Pyronema",NA
"OTU3054","OTU3054",0.0108695652173913,"Fungi","Ascomycota","Geoglossomycetes","uncl_Geoglossomycetes","uncl_Geoglossomycetes","uncl_Geoglossomycetes",NA
"OTU6090","OTU6090",0.0326086956521739,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Clavariaceae","uncl_Clavariaceae",NA
"OTU10752","OTU10752",0.0108695652173913,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Clavariaceae","Ramariopsis",NA
"OTU2911","OTU2911",0.0543478260869565,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus",NA
"OTU615","OTU615",0.130434782608696,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma",NA
"OTU11091","OTU11091",0.0108695652173913,"Fungi","Mucoromycota","Glomeromycetes","Diversisporales","uncl_Diversisporales","uncl_Diversisporales",NA
"OTU4199","OTU4199",0.0217391304347826,"Fungi","Basidiomycota","Microbotryomycetes","uncl_Microbotryomycetes","uncl_Microbotryomycetes","uncl_Microbotryomycetes",NA
"OTU8112","OTU8112",0.0217391304347826,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Septoglomus",NA
"OTU7603","OTU7603",0.0543478260869565,"Fungi","Ascomycota","Dothideomycetes","Venturiales","uncl_Venturiales","uncl_Venturiales",NA
