"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU6493",7,8.106,5,11,"NS"
"OTU1818",24,16.508,12,21,"Generalists"
"OTU3055",26,17.08,13,21,"Generalists"
"OTU2858",8,9.596,7,12,"NS"
"OTU7342",9,9.128,6,12,"NS"
"OTU1605",41,27.286,22,32,"Generalists"
"OTU5556",2,1.886,1,2,"NS"
"OTU4257",6,6.742,5,9,"NS"
"OTU263",45,47.098,40,53,"NS"
"OTU5967",4,3.44,2,4,"NS"
"OTU227",26,29.29,23.475,35,"NS"
"OTU36314",5,4.73,3,6,"NS"
"OTU6356",10,10.028,7,13,"NS"
"OTU67576",2,1.878,1,2,"NS"
"OTU2800",6,5.28,4,7,"NS"
"OTU1479",12,10.528,8,14,"NS"
"OTU4346",12,9.596,7,12,"NS"
"OTU12154",23,12.862,9,16,"Generalists"
"OTU15029",4,4.09,3,5,"NS"
"OTU11809",12,14.054,10,18,"NS"
"OTU1035",3,2.676,2,3,"NS"
"OTU2732",32,30.266,25,36,"NS"
"OTU452",32,38.844,33,45,"Specialists"
"OTU1186",26,17.272,13,22,"Generalists"
"OTU98607",6,5.296,4,7,"NS"
"OTU1848",6,5.232,3,7,"NS"
"OTU19019",2,2.688,2,3,"NS"
"OTU17395",2,1.884,1,2,"NS"
"OTU3564",43,24.86,19,30,"Generalists"
"OTU1095",17,19.466,15,24,"NS"
"OTU32",44,58.174,52.475,63.525,"Specialists"
"OTU3228",7,6.83,5,9,"NS"
"OTU41446",33,44.648,39,51,"Specialists"
"OTU2145",24,18.66,15,23,"Generalists"
"OTU195",4,4.09,3,5,"NS"
"OTU83900",5,5.84,4,8,"NS"
"OTU10183",4,3.382,2,4,"NS"
"OTU8719",10,8.974,6,12,"NS"
"OTU4420",10,13.23,10,17,"NS"
"OTU682",15,14.538,11,19,"NS"
"OTU1236",17,19.166,15,23,"NS"
"OTU3058",17,11.072,8,14,"Generalists"
