"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU3180",8,6.304,4,10,"NS"
"OTU1935",7,11.97,8,16,"Specialists"
"OTU1773",3,7.256,4,11,"Specialists"
"OTU6655",3,2.248,1,4,"NS"
"OTU1523",13,10.202,6,14,"NS"
"OTU6619",2,2.204,1,4,"NS"
"OTU2584",2,1.952,1,4,"NS"
"OTU2543",9,2.17,1,4,"Generalists"
"OTU9554",1,1.326,1,2,"NS"
"OTU192",8,2.604,1,5,"Generalists"
"OTU692",4,17.986,13,24,"Specialists"
"OTU495",10,16.906,12,22.525,"Specialists"
"OTU1348",5,5.82,3,9,"NS"
"OTU5893",2,1.288,1,2,"NS"
"OTU2025",4,5.158,2,8,"NS"
"OTU2759",10,6.892,4,10,"NS"
"OTU419",1,1.33,1,2,"NS"
"OTU7554",3,1.632,1,3,"NS"
"OTU4",9,2.37,1,4,"Generalists"
"OTU620",3,2.828,1,5,"NS"
"OTU10184",2,16.998,12,22,"Specialists"
"OTU8080",14,4.944,2,8,"Generalists"
"OTU5316",9,3.612,2,6,"Generalists"
"OTU5174",1,1.55,1,3,"NS"
"OTU6",19,3.676,2,6,"Generalists"
"OTU7274",16,3.248,1,5,"Generalists"
"OTU4021",4,2.218,1,4,"NS"
"OTU478",5,18.872,14,24,"Specialists"
"OTU3017",1,6.298,3,9,"Specialists"
"OTU846",2,14.156,9,19,"Specialists"
"OTU3362",3,4.642,2,7,"NS"
"OTU1533",1,13.312,9,18,"Specialists"
"OTU516",10,12.984,9,17.525,"NS"
"OTU5715",1,1.512,1,3,"NS"
"OTU6498",2,1.796,1,3,"NS"
"OTU339",9,16.282,11,22,"Specialists"
"OTU1940",5,7.65,4,12,"NS"
"OTU4341",1,2.368,1,4,"NS"
"OTU2554",4,4.406,2,7,"NS"
"OTU1852",4,3.04,1,5,"NS"
"OTU7501",6,6.386,3,10,"NS"
"OTU7663",1,1.632,1,3,"NS"
"OTU8200",3,2.75,1,5,"NS"
"OTU518",3,15.806,11,21,"Specialists"
"OTU997",3,4.558,2,7,"NS"
"OTU4041",1,1.926,1,3,"NS"
"OTU697",4,3.542,1,6,"NS"
"OTU4650",7,7.244,4,11,"NS"
"OTU1953",3,7.622,4.475,11,"Specialists"
"OTU347",11,11.064,7,16,"NS"
"OTU4027",2,3.818,2,6,"NS"
"OTU7115",3,9.964,6,14,"Specialists"
"OTU920",1,2.12,1,4,"NS"
"OTU633",2,2.324,1,4,"NS"
"OTU4174",3,1.694,1,3,"NS"
"OTU6119",3,3.55,2,6,"NS"
"OTU967",4,19.182,14,24.525,"Specialists"
"OTU2869",3,2.866,1,5,"NS"
"OTU4123",2,1.314,1,2,"NS"
"OTU7685",1,1.828,1,3,"NS"
"OTU4624",1,2.924,1,5,"NS"
"OTU4563",2,3.748,2,6,"NS"
"OTU1506",1,1.994,1,3,"NS"
"OTU4976",1,1.786,1,3,"NS"
"OTU2637",4,2.448,1,4.52499999999998,"NS"
"OTU5912",1,1.478,1,3,"NS"
"OTU2069",1,1.322,1,2,"NS"
"OTU12401",2,2.012,1,4,"NS"
"OTU4408",2,1.774,1,3,"NS"
"OTU13117",3,1.616,1,3,"NS"
"OTU595",1,2.27,1,4,"NS"
"OTU12362",6,1.872,1,3,"Generalists"
"OTU7314",3,1.65,1,3,"NS"
"OTU5027",4,3.286,1.475,6,"NS"
"OTU3580",1,1.656,1,3,"NS"
"OTU3450",5,3.45,1,6,"NS"
"OTU3208",4,5.556,3,9,"NS"
"OTU6551",2,2.13,1,4,"NS"
"OTU6688",1,2.076,1,4,"NS"
"OTU607",4,7.058,4,10,"NS"
"OTU2635",13,7.078,4,10,"Generalists"
"OTU3715",1,1.464,1,3,"NS"
"OTU10491",2,1.322,1,2,"NS"
"OTU2441",2,1.792,1,3,"NS"
"OTU1828",4,3.124,1,5,"NS"
"OTU1671",1,1.51,1,3,"NS"
"OTU6690",2,1.926,1,3,"NS"
"OTU8426",6,3.628,1.475,6,"NS"
"OTU2636",6,5.45,3,9,"NS"
"OTU5529",4,3.538,1,6,"NS"
"OTU2987",7,2.744,1,5,"Generalists"
"OTU12496",1,1.522,1,3,"NS"
"OTU28",8,3.082,1,5,"Generalists"
"OTU10131",1,1.48,1,2.52499999999998,"NS"
"OTU894",5,2.442,1,4,"Generalists"
"OTU2832",5,5.69,3,9,"NS"
"OTU2031",20,8.556,5,13,"Generalists"
"OTU1319",2,1.52,1,3,"NS"
"OTU1194",2,1.538,1,3,"NS"
"OTU2788",2,1.31,1,2,"NS"
"OTU3296",1,1.47,1,3,"NS"
"OTU4669",3,1.75,1,3,"NS"
"OTU4901",3,4.42,2,7,"NS"
"OTU9250",2,1.64,1,3,"NS"
"OTU10293",1,2.634,1,4,"NS"
"OTU826",2,1.316,1,2,"NS"
"OTU2005",2,1.468,1,3,"NS"
"OTU6333",4,2.272,1,4,"NS"
"OTU7006",2,2.508,1,4.52499999999998,"NS"
"OTU44",18,32.35,26,38,"Specialists"
"OTU2105",1,5.778,3,9,"Specialists"
"OTU3501",4,3.904,2,6,"NS"
"OTU9749",12,7.324,4,11,"Generalists"
"OTU1259",3,2.122,1,4,"NS"
"OTU281",7,2.582,1,4,"Generalists"
"OTU4904",2,1.232,1,2,"NS"
"OTU11980",16,3.564,1,6,"Generalists"
"OTU12225",6,2.098,1,4,"Generalists"
"OTU27",12,2.762,1,5,"Generalists"
"OTU1731",3,1.498,1,3,"NS"
"OTU6999",1,1.29,1,2,"NS"
"OTU16",2,1.466,1,3,"NS"
"OTU2596",1,1.292,1,2,"NS"
"OTU188",3,1.682,1,3,"NS"
"OTU42",3,1.642,1,3,"NS"
"OTU248",21,16.524,11,22,"NS"
"OTU5587",4,1.672,1,3,"Generalists"
"OTU2782",11,2.562,1,4,"Generalists"
"OTU1491",11,11.964,8,16.525,"NS"
"OTU592",2,6.558,4,10,"Specialists"
"OTU29",19,5.086,3,8,"Generalists"
"OTU841",6,2.594,1,5,"Generalists"
"OTU11",6,16.924,12,22,"Specialists"
"OTU4606",5,3.27,1,5,"NS"
"OTU2018",4,5.318,3,8,"NS"
"OTU4899",4,3.156,1,6,"NS"
"OTU5998",10,2.958,1,5,"Generalists"
"OTU2422",2,1.518,1,3,"NS"
"OTU8872",10,5.06,3,8,"Generalists"
"OTU327",3,1.894,1,3,"NS"
"OTU638",17,3.414,1,6,"Generalists"
"OTU565",1,1.308,1,2,"NS"
"OTU45",7,2.462,1,4,"Generalists"
"OTU6812",7,2.244,1,4,"Generalists"
"OTU7561",1,1.81,1,3,"NS"
"OTU3125",10,5.86,3,9,"Generalists"
"OTU303",3,1.478,1,3,"NS"
"OTU8516",11,5.08,2,8,"Generalists"
"OTU4005",5,1.796,1,3,"Generalists"
"OTU62",5,1.814,1,3,"Generalists"
"OTU9896",5,1.832,1,3,"Generalists"
"OTU4107",23,12.608,8.475,17.525,"Generalists"
"OTU1562",3,10.256,6,14,"Specialists"
"OTU12247",8,2.208,1,4,"Generalists"
"OTU6573",3,3.506,1,6,"NS"
"OTU671",2,1.796,1,3,"NS"
"OTU5652",8,2.148,1,4,"Generalists"
"OTU12423",3,1.494,1,3,"NS"
